"Table 2.13 Church/Denominational Affiliation of Students Currently Enrolled, Fall 2024",col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
All Member Schools,,,,,,,,
,MDiv,,Master of Arts,,All Other Students,,Total Schools,
Church/Denominational Affiliation,N,HC,N,HC,N,HC,N,HC
Not Available,59,"2,825",76,"4,011",72,"2,373",94,"9,209"
Orthodox Church in America,5,49,4,11,4,32,9,92
Orthodox Presbyterian,7,57,7,36,8,24,10,117
"Orthodox, Other",12,52,23,68,20,94,39,214
Other,144,"3,013",152,"4,629",143,"3,005",189,"10,647"
Pentecostal Assemblies of Canada,8,49,13,101,15,64,18,214
"Pentecostal, Other",64,346,70,525,64,418,99,"1,289"
Presbyterian Church (U.S.A.),68,456,57,191,75,421,102,"1,068"
Presbyterian Church in America,33,511,40,474,36,300,55,"1,285"
Presbyterian Church in Canada,10,47,8,31,10,30,15,108
Presbyterian Church International,9,19,4,9,4,12,11,40
"Presbyterian, Other",47,243,51,388,47,486,68,"1,117"
Progressive National Baptist Convention,6,9,3,3,10,13,16,25
Reformed Church in America,16,59,14,44,19,80,29,183
Reformed Church in Canada,0,0,3,5,2,5,4,10
Reformed Episcopal Church,3,7,2,7,3,12,5,26
Reformed Presbyterian,14,48,13,35,7,33,24,116
"Reformed, Other",17,80,20,67,19,85,34,232
Religious Society of Friends,4,18,5,8,1,5,7,31
Roman Catholic,78,"1,953",93,"2,255",74,"1,347",125,"5,555"
Salvation Army,5,21,8,27,7,11,13,59
Seventh Day Baptist General Conference,2,2,1,1,2,2,5,5
Seventh-day Adventist,23,481,29,822,35,404,60,"1,707"
Southern Baptist Convention,50,"3,958",57,"3,658",49,"3,905",75,"11,521"
"Swedenborgian Church, General Convention",0,0,2,2,0,0,2,2
The Foursquare Church,2,15,6,12,1,1,7,28
Ukrainian Orthodox Church of the USA,2,9,1,16,0,0,2,25
Union d'Eglises Baptistes Francaises au Canada,0,0,0,0,1,1,1,1
Unitarian Universalist,24,170,16,26,19,50,35,246
United Church of Canada,9,90,10,49,11,60,15,199
United Church of Christ,48,177,31,57,44,156,65,390
United Methodist Church,68,"1,143",67,340,73,683,99,"2,166"
United Pentecostal Church International,7,29,10,67,8,33,14,129
Venture Church Network,2,2,3,6,1,9,3,17
Wesleyan Church,24,137,24,97,24,97,37,331
Wisconsin Evangelical Lutheran Synod,1,151,1,1,3,46,4,198
Total,259,"26,096",263,"29,423",252,"23,423",280,"78,942"
