All Member Schools,col_1,col_2,col_3
Position,"Master's Degrees
(MDiv, MA, ThM/STM)","Doctoral Degreees
(DMin and Other Prof Dr)","Doctoral Degrees
(PhD/ThD)"
Recruitment Staff,,,
Number,14,18,7
Average Salary,64937,62984,72486
Median Salary,62546,62848,55000
Average Salary and Housing,64937,62984,72486
Average Benefits,9444,7420,5950
Average Pension,4246,4308,2031
Total Average,78627,74712,80467
25th percentile,60907,50026,57751
Median,75557,72650,63648
75th percentile,101625,90488,66555
Registrar,,,
Number,44,59,42
Average Salary,68560,65943,71372
Median Salary,67462,65082,70000
Average Salary and Housing,68560,65943,71372
Average Benefits,8844,9725,9594
Average Pension,4681,4175,6550
Total Average,82085,79843,87516
25th percentile,63911,62100,70000
Median,82591,77643,80633
75th percentile,99000,92456,107352
