Table 2.14 Completions by Degree Category,col_1,col_2,col_3,col_4,col_5,col_6,col_7
All Member Schools,,,,,,,
Year,"Schools
Reporting",MDiv,MA,ThM/STM,"DMin/Other
Prof Dr",PhD/ThD,Total Degrees
2020,275,"5,993","7,268",514,"1,615",452,"15,842"
2021,272,"6,158","7,508",592,"1,809",419,"16,486"
2022,280,"5,970","7,637",568,"1,863",457,"16,495"
2023,274,"5,447","7,543",502,"2,170",428,"16,090"
2024,281,"5,417","8,096",507,"2,373",472,"16,865"
United States,,,,,,,
Year,"Schools
Reporting",MDiv,MA,ThM/STM,"DMin/Other
Prof Dr",PhD/ThD,Total Degrees
2020,237,"5,695","6,791",460,"1,584",424,"14,954"
2021,235,"5,888","7,027",532,"1,776",386,"15,609"
2022,243,"5,647","7,092",529,"1,829",424,"15,521"
2023,237,"5,174","7,021",469,"2,132",391,"15,187"
2024,245,"5,146","7,567",459,"2,331",436,"15,939"
Canada,,,,,,,
Year,"Schools
Reporting",MDiv,MA,ThM/STM,"DMin/Other
Prof Dr",PhD/ThD,Total Degrees
2020,38,298,477,54,31,28,888
2021,37,270,481,60,33,33,877
2022,37,323,545,39,34,33,974
2023,37,273,522,33,38,37,903
2024,36,271,529,48,42,36,926
