col_0,< 75,75 - 150,151 - 300,301 - 500,501 - 1000,> 1000
"Director of Relations (Alum, External, Church)",,,,,,
Number,6,7,7,3,2,-
Average Salary,64432,72592,65632,-,-,-
Median Salary,57828,76442,60913,-,-,-
Average Salary and Housing,64432,80561,65632,-,-,-
Average Benefits,7826,15140,7447,-,-,-
Average Pension,2906,7089,6851,-,-,-
Total Compensation Average,75164,102791,79930,-,-,-
Total Compensation 25th Percentile,61783,79243,65540,-,-,-
Total Compensation Median,69153,91432,76623,-,-,-
Total Compensation 75th Percentile,91389,122147,77991,-,-,-
Director of Student Services/Affairs,,,,,,
Number,25,23,8,6,5,4
Average Salary,63476,67720,78894,60886,54405,-
Median Salary,65000,65386,76014,45753,-,-
Average Salary and Housing,64172,68242,78894,60886,54405,-
Average Benefits,7364,9083,6565,11289,12970,-
Average Pension,5139,3654,7077,3989,4461,-
Total Compensation Average,76675,80978,92535,76164,71836,-
Total Compensation 25th Percentile,61170,66401,72928,52450,52312,-
Total Compensation Median,80375,81315,91711,64310,67870,-
Total Compensation 75th Percentile,84059,89684,105540,89836,72130,-
Accounting Staff,,,,,,
Number,9,15,8,2,9,-
Average Salary,64919,69597,68299,-,81457,-
Median Salary,67600,65000,61800,-,90000,-
Average Salary and Housing,64919,69597,68299,-,81457,-
Average Benefits,7820,14858,4429,-,6825,-
Average Pension,4589,5297,3711,-,6152,-
Total Compensation Average,77328,89752,76438,-,94434,-
Total Compensation 25th Percentile,59729,66123,58984,-,70251,-
Total Compensation Median,75744,84626,67375,-,90572,-
Total Compensation 75th Percentile,93903,104594,76385,-,104461,-
Admissions Officer,,,,,,
Number,33,23,19,10,15,2
Average Salary,54541,68092,64034,54855,62258,-
Median Salary,53560,68000,60770,48000,61800,-
Average Salary and Housing,54541,69047,64034,54855,66223,-
Average Benefits,8354,13196,7622,11046,3794,-
Average Pension,4713,5659,3478,4142,3971,-
Total Compensation Average,67608,87902,75135,70043,73988,-
Total Compensation 25th Percentile,51204,60000,52000,56773,61800,-
Total Compensation Median,62023,78886,71400,60092,68234,-
Total Compensation 75th Percentile,77762,112541,88286,84825,83500,-
