All Member Schools,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16
"Race/Ethnicity
Faculty Rank",,2020,,,2021,,,2022,,,2023,,,2024,,
,,M,F,O/U,M,F,O/U,M,F,O/U,M,F,O/U,M,F,O/U
Asian or PI,Professor,73,17,0,75,21,0,84,21,0,79,21,0,86,19,0
,Associate Professor,56,27,0,63,26,0,61,28,0,59,26,1,60,26,1
,Assistant Professor,55,28,2,52,29,2,59,35,2,49,35,0,59,39,0
,Others,13,4,1,12,6,1,11,5,1,17,5,1,19,2,1
,Total,197,76,3,202,82,3,215,89,3,204,87,2,224,86,2
"Black (Non-
Hispanic)",Professor,65,23,0,62,24,0,65,32,0,66,31,0,65,29,0
,Associate Professor,52,29,0,56,36,0,56,37,0,48,35,0,47,37,0
,Assistant Professor,41,45,2,47,46,2,54,48,1,47,52,0,51,48,0
,Others,12,11,0,9,7,0,10,8,0,15,3,0,17,4,0
,Total,170,108,2,174,113,2,185,125,1,176,121,0,180,118,0
Hispanic,Professor,38,10,0,37,10,0,45,11,0,38,10,0,43,9,0
,Associate Professor,41,3,1,48,5,0,42,5,0,37,5,0,33,8,0
,Assistant Professor,30,17,1,27,17,1,35,16,0,41,19,0,46,19,0
,Others,8,10,0,10,6,0,11,11,0,7,5,0,5,6,0
,Total,117,40,2,122,38,1,133,43,0,123,39,0,127,42,0
Indigenous,Professor,1,0,0,1,1,0,2,1,0,3,0,0,3,0,0
,Associate Professor,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0
,Assistant Professor,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0
,Others,2,1,0,2,2,0,1,2,0,1,0,0,1,0,0
,Total,5,1,0,5,3,0,5,3,0,5,1,0,4,1,0
"White (Non-
Hispanic)",Professor,968,210,2,924,198,1,894,196,0,817,186,0,795,182,0
,Associate Professor,458,161,2,464,161,2,437,157,1,383,145,2,379,140,1
,Assistant Professor,286,130,2,257,134,1,265,149,2,227,132,1,222,137,1
,Others,132,59,4,123,47,4,109,40,2,75,42,0,65,43,0
,Total,1844,560,10,1768,540,8,1705,542,5,1502,505,3,1461,502,2
Multiracial,Professor,4,2,0,5,2,0,5,2,0,1,1,0,2,1,0
,Associate Professor,6,5,0,5,4,0,6,4,0,5,3,0,6,4,1
,Assistant Professor,3,2,0,2,2,0,3,3,0,4,4,1,2,4,0
,Others,0,2,0,0,1,0,2,2,0,1,0,0,1,0,0
,Total,13,11,0,12,9,0,16,11,0,11,8,1,11,9,1
Not Available,Professor,36,11,1,41,10,2,40,14,2,46,11,4,45,11,5
,Associate Professor,38,16,4,42,14,3,47,22,3,42,22,6,37,23,3
,Assistant Professor,38,15,8,35,17,9,41,13,7,36,8,2,36,13,3
,Others,18,10,2,16,10,4,22,9,3,18,11,8,12,8,9
,Total,130,52,15,134,51,18,150,58,15,142,52,20,130,55,20
Total Faculty,Professor,1187,273,3,1148,266,3,1139,278,2,1050,260,4,1039,251,5
,Associate Professor,657,243,7,682,248,5,654,255,4,574,237,9,562,239,6
,Assistant Professor,458,241,15,425,247,15,462,266,12,405,250,4,416,260,4
,Others,185,97,7,172,80,9,166,77,6,134,66,9,120,63,10
,Total,2487,854,32,2427,841,32,2421,876,24,2163,813,26,2137,813,25
