col_0,col_1,col_2,col_3,Prov/,Church/,Expenditures,LT Invest,Faculty,col_9,Enrollment,col_11,MDiv
Name,Status,IUC,Race,State,Denom,$thousands,$millions,FT,FTE,HC,FTE,Tuition + Fees
Pacific Lutheran Theological Seminary of California Lutheran University,ACCRED,U,W,CA,ELCA,4461,37.0,7,9,54,48,16980
Pacific School of Religion,ACCRED,I,W,CA,INTER,8693,61.0,8,9,138,90,19680
Pacific Theological Seminary,ASSOC,I,n/a,CA,NONDEN,623,0.0,0,4,16,8,11000
Palm Beach Atlantic University School of Ministry Graduate Department,ACCRED,U,N,FL,INTER,930,0.6,12,12,150,94,14178
Palmer Theological Seminary of Eastern University,ACCRED,U,H,PA,ABCUSA,2622,18.0,5,9,204,106,10726
Payne Theological Seminary,ACCRED,I,B,OH,AME,3614,0.7,4,4,126,144,19533
Pentecostal Theological Seminary,ACCRED,I,W,TN,COGCLEV,5402,20.6,15,23,444,251,10330
Perkins School of Theology Southern Methodist University,ACCRED,U,W,TX,UMC,19979,239.0,27,32,277,131,26641
Phillips Theological Seminary,ACCRED,I,W,OK,DISCPL,8183,149.5,9,9,103,50,11016
Phoenix Seminary,ACCRED,I,W,AZ,NONDEN,6465,1.7,5,20,296,134,10470
Pittsburgh Theological Seminary,ACCRED,I,W,PA,PCUSA,14677,262.1,14,14,202,73,13260
Pontifical College Josephinum,ACCRED,C,N,OH,RC,9454,33.6,8,8,25,32,32796
Pope St. John XXIII National Seminary,ACCRED,I,W,MA,RC,3532,5.7,2,7,43,54,28500
Portland Seminary of George Fox University,ACCRED,C,W,OR,INTER,2122,5.0,7,8,341,263,13084
Presbyterian Theological Seminary in America,ACCRED,I,A,CA,KPCA,2589,0.0,9,15,126,75,9403
Princeton Theological Seminary,ACCRED,I,W,NJ,PCUSA,73061,1378.9,30,48,291,279,20900
Providence Theological Seminary,ACCRED,C,W,MB,INTER,2592,0.0,8,10,149,66,12738
Puritan Reformed Theological Seminary,ACCRED,I,W,MI,HERREF,6098,2.9,11,12,501,195,7900
Reformed Episcopal Seminary,ACCRED,I,W,PA,RFEPISC,942,0.8,6,28,26,12,17470
Reformed Presbyterian Theological Seminary,ACCRED,I,W,PA,RFPRES,2327,5.8,4,5,91,74,13989
Reformed Theological Seminary,ACCRED,I,W,MS,INTER,31068,83.5,30,30,1022,520,21365
Regent College,ACCRED,I,W,BC,INTER,10613,30.9,12,25,319,141,11665
Regent University School of Divinity,ACCRED,U,B,VA,INTER,14357,2.6,12,33,1109,645,16920
Regis College,ACCRED,I,W,ON,RC,4294,11.8,1,3,83,57,8502
Robert E. Webber Institute for Worship Studies,ACCRED,I,W,FL,INTER,1180,0.2,1,5,122,136,0
Sacred Heart Major Seminary,ACCRED,I,W,MI,RC,10192,35.8,9,12,132,97,35032
Sacred Heart Seminary and School of Theology,ACCRED,I,V,WI,RC,8628,13.6,18,27,146,125,36800
Saint John's Seminary (MA),ACCRED,C,W,MA,RC,6394,46.9,0,0,76,50,45028
Saint John's University School of Theology and Seminary,ACCRED,C,W,MN,RC,5137,31.6,8,10,165,90,18030
Saint Mary Seminary and Graduate School of Theology,ACCRED,I,W,OH,RC,3580,0.9,10,12,127,62,10470
Saint Meinrad School of Theology,ACCRED,I,W,IN,RC,15350,57.6,15,24,181,156,40370
Saint Paul School of Theology,ACCRED,I,W,KS,UMC,4521,38.3,7,13,89,61,21450
Saint Paul Seminary School of Divinity of the University of St. Thomas,ACCRED,U,W,MN,RC,9360,52.8,6,6,151,125,26951
Saint Sophia Ukrainian Orthodox Theological Seminary,ACCRED,I,M,NJ,UKOCUSA,404,2.2,0,0,27,34,15200
Saint Vincent Seminary,ACCRED,C,W,PA,RC,3383,20.0,5,15,77,61,34058
