All Member Schools,col_1,col_2,col_3
Position,"Master's Degrees
(MDiv, MA, ThM/STM)","Doctoral Degreees
(DMin and Other Prof Dr)","Doctoral Degrees
(PhD/ThD)"
Chief Development Officer,,,
Number,26,35,24
Average Salary,134362,111219,143642
Median Salary,118646,117930,138267
Average Salary and Housing,135100,113962,143642
Average Benefits,13332,13232,11889
Average Pension,8538,9561,13317
Total Average,156970,136754,168849
25th percentile,91201,101500,133686
Median,150630,132000,159718
75th percentile,187855,172964,195931
VP-Finance (CFO),,,
Number,31,48,41
Average Salary,131045,125141,133319
Median Salary,122512,122455,135252
Average Salary and Housing,131045,126912,133319
Average Benefits,12754,11198,14642
Average Pension,8589,9878,11343
Total Average,152389,147988,159304
25th percentile,99999,101142,111935
Median,130698,144613,168997
75th percentile,191883,188586,202797
VP-Operations/Facilities (COO),,,
Number,4,13,11
Average Salary,-,117108,135664
Median Salary,-,110000,122044
Average Salary and Housing,-,117877,135664
Average Benefits,-,12198,11372
Average Pension,-,8092,10897
Total Average,-,138166,157933
25th percentile,-,93377,125471
Median,-,131798,162117
75th percentile,-,143300,174452
