All Member Schools,col_1,col_2,col_3
Position,"Master's Degrees
(MDiv, MA, ThM/STM)","Doctoral Degreees
(DMin and Other Prof Dr)","Doctoral Degrees
(PhD/ThD)"
Admissions Officer,,,
Number,22,43,34
Average Salary,65113,59191,66342
Median Salary,58916,55699,61200
Average Salary and Housing,65113,61085,67260
Average Benefits,9739,8330,11655
Average Pension,3841,3724,6610
Total Average,78693,73139,85525
25th percentile,53414,59741,58146
Median,71391,68112,75469
75th percentile,103753,78452,110850
Alum Officer,,,
Number,3,9,8
Average Salary,-,80837,70597
Median Salary,-,74270,69864
Average Salary and Housing,-,80837,70597
Average Benefits,-,12972,10798
Average Pension,-,6352,5806
Total Average,-,100162,87202
25th percentile,-,72899,67278
Median,-,96868,82644
75th percentile,-,128391,94273
Business Office Staff,,,
Number,10,18,15
Average Salary,60575,67650,65667
Median Salary,43602,65000,58092
Average Salary and Housing,60575,67650,65667
Average Benefits,6253,6806,6930
Average Pension,2593,5677,3980
Total Average,69421,80133,76577
25th percentile,42074,59757,48000
Median,53602,70720,74448
75th percentile,105000,97877,86177
