Table 4.3 Average Expenditure Per Student Head Count and Full-time Equivalent Student,col_1,col_2,col_3,col_4,col_5,col_6
"Student Head Count, All Member Schools",,,,,,
Expenditures,,2019-20,2020-21,2021-22,2022-23,2023-24
,Instruction,7930,7599,7957,8856,9226
,Research,104,138,272,290,370
,Public Service,251,211,238,348,648
,Library,920,879,884,919,991
,Academic Support,1670,1704,1660,1974,1811
,Student Services,1176,1132,1270,1370,1529
,Admissions,494,478,493,516,599
,Institutional Support,5347,5110,5509,6092,6597
,Operation and Maintenance of Plant,2799,2686,2794,3171,3410
,Scholarships and Fellowships,3334,3487,3602,3760,4081
,Auxiliary Enterprises,1915,1725,1860,1962,2124
,Total Expenditures,25941,25151,26538,29258,31384
"Full-time Equivalent Student, All Member Schools",,,,,,
Expenditures,,2019-20,2020-21,2021-22,2022-23,2023-24
,Instruction,12516,11975,12967,14402,15149
,Research,165,218,443,472,607
,Public Service,397,333,387,566,1064
,Library,1453,1386,1441,1495,1627
,Academic Support,2636,2685,2705,3211,2974
,Student Services,1856,1784,2070,2228,2510
,Admissions,780,753,803,839,984
,Institutional Support,8439,8052,8978,9906,10832
,Operation and Maintenance of Plant,4417,4233,4553,5156,5598
,Scholarships and Fellowships,5262,5496,5870,6114,6700
,Auxiliary Enterprises,3023,2719,3032,3190,3487
,Total Expenditures,40943,39634,43250,47580,51532
