All Member Schools,col_1,col_2,col_3
Position,"Master's Degrees
(MDiv, MA, ThM/STM)","Doctoral Degreees
(DMin and Other Prof Dr)","Doctoral Degrees
(PhD/ThD)"
Director of Field Education,,,
Number,13,20,16
Average Salary,62795,72590,70593
Median Salary,68407,73685,67000
Average Salary and Housing,66780,74080,72788
Average Benefits,9148,15292,12374
Average Pension,3846,6885,6407
Total Average,79774,96257,91568
25th percentile,38263,80554,75922
Median,91910,95613,83230
75th percentile,109760,119526,101114
Director of Financial Aid,,,
Number,3,8,8
Average Salary,-,74976,79080
Median Salary,-,74460,77250
Average Salary and Housing,-,74976,79080
Average Benefits,-,15110,19931
Average Pension,-,4047,6730
Total Average,-,94133,105741
25th percentile,-,70109,76270
Median,-,93094,103454
75th percentile,-,106496,114899
Director of Formation,,,
Number,34,10,13
Average Salary,71931,74050,105349
Median Salary,68414,66402,100091
Average Salary and Housing,76539,75899,105349
Average Benefits,11929,11499,15823
Average Pension,6901,4085,8991
Total Average,95369,91483,130163
25th percentile,58751,66933,93164
Median,86563,78885,131091
75th percentile,135007,104896,150346
