"Table 2.13 Church/Denominational Affiliation of Students Currently Enrolled, Fall 2024",col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
All Member Schools,,,,,,,,
,MDiv,,Master of Arts,,All Other Students,,Total Schools,
Church/Denominational Affiliation,N,HC,N,HC,N,HC,N,HC
Episcopal Church,61,488,66,168,70,330,107,986
Evangelical Church in Canada,6,14,12,41,8,19,14,74
Evangelical Congregational Church,12,39,13,63,18,43,25,145
Evangelical Covenant Church,23,88,26,142,25,118,47,348
Evangelical Formosan Church,1,1,2,6,1,2,2,9
Evangelical Free Church of America,30,113,43,222,31,127,52,462
Evangelical Free Church of Canada,2,3,4,15,6,16,8,34
Evangelical Lutheran Church in America,29,511,30,161,39,300,54,972
Evangelical Lutheran Church in Canada,1,5,4,4,7,16,10,25
Evangelical Presbyterian Church,23,105,21,59,17,53,33,217
Fellowship of Evangelical Baptist Churches in Canada,8,51,9,67,10,74,13,192
Fellowship of Grace Brethren Churches,0,0,1,1,1,1,2,2
Foursquare Gospel Church,11,20,15,48,11,39,21,107
Free Methodist Church,18,60,17,66,27,51,37,177
"Friends, Quaker",9,18,11,19,10,16,21,53
General Assembly of World Presbyterian Church,1,10,1,3,1,20,1,33
General Association of General Baptists,4,5,5,11,6,10,10,26
General Association of Regular Baptist Churches,5,7,3,4,4,9,6,20
General Baptist State Convention of North Carolina,2,3,1,19,3,3,4,25
Global Methodist Church,7,196,5,84,6,57,9,337
Greek Orthodox Archdiocese of America,5,64,5,39,3,46,9,149
Heritage Reformed Congregations (USA and Canada),1,5,1,5,1,5,1,15
Independent Baptist,22,81,20,92,19,93,33,266
Independent Methodist,6,14,3,11,3,10,9,35
Inter/Multidenominational,33,84,37,114,26,111,50,309
Jewish,11,90,18,61,20,46,34,197
Korean American Presbyterian Church,12,66,12,81,13,74,20,221
Korean Evangelical Holiness Church,5,26,3,12,4,31,8,69
Korean Methodist Church in America,10,48,7,20,9,75,13,143
Korean Presbyterian Church Abroad,7,21,9,30,11,79,15,130
Korean Presbyterian Church in America (Kosin),4,64,4,11,6,20,8,95
Lutheran Church-Canada,2,13,5,7,5,8,10,28
Lutheran Church-Missouri Synod,15,344,18,92,15,368,34,804
Lutheran Congregations in Mission for Christ,3,34,3,13,2,16,3,63
"Lutheran, Other",37,87,40,90,47,151,76,328
Mennonite Brethren Church in North America,8,15,17,49,15,32,26,96
Mennonite Church Canada,3,4,6,9,4,6,8,19
Mennonite Church USA,12,36,11,26,9,43,17,105
"Mennonite, Other",13,23,18,82,13,21,31,126
"Methodist, Other",33,79,36,99,32,87,62,265
Missionary Church in Canada,4,4,2,4,4,9,6,17
Moravian Church in North America,2,9,2,2,2,9,4,20
Muslim,4,51,13,149,14,75,19,275
National Association of Congregational Christian Churches,3,3,2,2,5,6,9,11
"National Baptist Convention of America, Intl. Inc.",3,12,2,3,2,4,4,19
"National Baptist Convention, USA Inc.",25,51,16,41,33,78,46,170
Nondenominational,145,"2,675",149,"4,281",135,"2,003",179,"8,959"
North American Baptist Conference,10,33,11,36,5,17,15,86
North American Lutheran Church,5,20,5,11,2,22,6,53
