All Member Schools,col_1,col_2,col_3
Position,"Master's Degrees
(MDiv, MA, ThM/STM)","Doctoral Degreees
(DMin and Other Prof Dr)","Doctoral Degrees
(PhD/ThD)"
Communications Staff,,,
Number,21,22,24
Average Salary,73834,64080,61622
Median Salary,69000,61140,60000
Average Salary and Housing,74748,64080,61622
Average Benefits,12098,9166,11689
Average Pension,4948,4960,5476
Total Average,91795,78206,78787
25th percentile,50032,60918,67763
Median,94875,74612,78783
75th percentile,119262,92700,90000
Data Specialist,,,
Number,1,4,7
Average Salary,-,-,69057
Median Salary,-,-,58195
Average Salary and Housing,-,-,69057
Average Benefits,-,-,9310
Average Pension,-,-,2979
Total Average,-,-,81346
25th percentile,-,-,44020
Median,-,-,73709
75th percentile,-,-,108007
Development Professional Staff,,,
Number,26,42,57
Average Salary,80440,75900,82931
Median Salary,81493,70082,79380
Average Salary and Housing,80440,75900,82931
Average Benefits,11089,11539,13605
Average Pension,4672,6225,8008
Total Average,96201,93663,104544
25th percentile,67586,76137,72133
Median,97572,83326,103453
75th percentile,122629,109476,129214
