All Member Schools,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
,2015,,2020,,2023,,2024,
Enrollment size,N,%,N,%,N,%,N,%
< 75,110,40%,111,40%,120,44%,132,47%
75 - 150,79,29%,76,28%,81,30%,77,27%
151 - 300,46,17%,52,19%,37,14%,38,14%
301 - 500,19,7%,17,6%,14,5%,11,4%
501 - 1000,10,4%,10,4%,14,5%,16,6%
> 1000,6,2%,7,3%,6,2%,6,2%
Not Reporting,5,2%,2,1%,2,1%,1,0%
Total,275,100%,275,100%,274,100%,281,100%
