All Member Schools,col_1,col_2,col_3
Position,"Master's Degrees
(MDiv, MA, ThM/STM)","Doctoral Degreees
(DMin and Other Prof Dr)","Doctoral Degrees
(PhD/ThD)"
IT Help Desk Support,,,
Number,5,2,9
Average Salary,47906,-,58218
Median Salary,36548,-,59085
Average Salary and Housing,47906,-,58218
Average Benefits,8545,-,8101
Average Pension,2180,-,5456
Total Average,58631,-,71774
25th percentile,32190,-,51475
Median,42792,-,72861
75th percentile,74662,-,79584
Library Staff,,,
Number,22,69,55
Average Salary,65871,61791,67127
Median Salary,63562,61735,66560
Average Salary and Housing,65871,61791,67127
Average Benefits,10095,11947,12379
Average Pension,4035,5976,6497
Total Average,80001,79713,86004
25th percentile,48514,64787,65814
Median,71084,82280,82411
75th percentile,102186,92750,96337
Network Administrator,,,
Number,1,6,7
Average Salary,-,74195,65546
Median Salary,-,75000,72750
Average Salary and Housing,-,74195,65546
Average Benefits,-,8898,22171
Average Pension,-,4792,5994
Total Average,-,87884,93712
25th percentile,-,72128,64602
Median,-,87550,109179
75th percentile,-,102241,109218
