United States,col_1,col_2,col_3,col_4
,2023-2024,,2024-2025,
,$,N,$,N
Administrators,,,,
Chief Executive Officer (CEO),"213,100",187,"219,464",179
Chief Academic Officer (CAO),"136,868",175,"136,714",173
Accreditation Liaison Officer (ALO),"75,768",6,"93,419",13
Executive Vice President,"175,941",28,"165,939",27
VP-Administration,"139,531",37,"145,468",40
VP/Director-HR,"140,065",22,"133,602",27
Chief Development Officer,"153,260",84,"156,120",78
Chief Diversity Officer,"124,460",7,"132,442",7
VP-Finance (CFO),"151,886",109,"159,735",108
Chief Information Officer (CIO),"144,531",6,"158,795",6
VP-Operations/Facilities (COO),"161,682",21,"155,129",27
Academic Dean - Other,"119,358",93,"129,363",81
Dean of Chapel/Chaplain,"99,819",19,"95,806",25
Dean of Students,"109,524",63,"114,026",57
Dean of International Student Services,-,3,-,4
Director/Chair of Academic Degree Program,"97,948",45,"97,778",53
Director of Admissions,"84,842",35,"85,247",43
Director of Advancement,"123,449",15,"115,295",18
Director of Assessment,"82,666",34,"82,070",28
Business Office Manager,"79,427",31,"91,876",47
Director of Communications,"106,279",25,"112,110",35
Director of Doctor of Ministry,"88,648",20,"95,574",22
Director of Enrollment Management,"120,399",27,"120,437",27
Facilities Director,"109,238",21,"114,452",33
Director of Field Education,"87,684",49,"91,438",48
Director of Financial Aid,"93,383",9,"98,317",19
Director of Formation,"105,737",49,"107,471",53
Director of Graduate Studies,"86,196",21,"93,784",24
Director of Housing/Student Life,"90,414",11,"87,419",13
Director of Institutional Effectiveness,"99,715",6,"106,533",8
Director of Institutional Research,"82,144",6,"101,380",8
Director of IT,"117,054",71,"119,093",70
Director of Library,"95,332",94,"98,900",95
Director of Continuing Education/Lifelong Learning,"108,703",47,"108,690",46
Director of Marketing,"107,999",48,"105,440",39
Director of Online Education/Distance Learning/Digital Learning,"99,386",38,"96,650",44
