All Member Schools,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
,2015,,2020,,2023,,2024,
Enrollment size,N,%,N,%,N,%,N,%
< 75,60,22%,64,23%,66,24%,68,24%
75 - 150,81,30%,82,30%,89,33%,89,32%
151 - 300,73,27%,75,27%,66,24%,68,24%
301 - 500,27,10%,24,9%,23,8%,25,9%
501 - 1000,14,5%,14,5%,12,4%,14,5%
> 1000,15,6%,14,5%,16,6%,16,6%
Not Reporting,5,2%,2,1%,2,1%,1,0%
Total,275,100%,275,100%,274,100%,281,100%
