All Member Schools,col_1,col_2,col_3
Position,"Master's Degrees
(MDiv, MA, ThM/STM)","Doctoral Degreees
(DMin and Other Prof Dr)","Doctoral Degrees
(PhD/ThD)"
Director/Chair of Academic Degree Program,,,
Number,16,9,32
Average Salary,91131,68454,79490
Median Salary,69996,70800,73500
Average Salary and Housing,95409,68454,81759
Average Benefits,9927,12527,11392
Average Pension,5798,3840,5252
Total Average,111133,84821,98403
25th percentile,66824,63301,77377
Median,79482,91305,88434
75th percentile,108160,103312,109367
Director of Admissions,,,
Number,7,21,16
Average Salary,91985,64675,71257
Median Salary,97778,61602,70104
Average Salary and Housing,91985,64675,71257
Average Benefits,9175,9519,8047
Average Pension,3849,4136,4658
Total Average,105009,78330,83962
25th percentile,75990,65920,62249
Median,108967,73440,84164
75th percentile,111174,95650,90774
Director of Advancement,,,
Number,4,7,10
Average Salary,-,70179,102685
Median Salary,-,73800,100985
Average Salary and Housing,-,70179,102685
Average Benefits,-,14677,11253
Average Pension,-,6281,9040
Total Average,-,91137,122978
25th percentile,-,73721,93547
Median,-,101203,120816
75th percentile,-,102300,149943
