col_0,< 75,75 - 150,151 - 300,301 - 500,501 - 1000,> 1000
Director of Admissions,,,,,,
Number,7,19,7,6,3,4
Average Salary,68401,69298,69111,83631,-,-
Median Salary,68000,62000,66000,71750,-,-
Average Salary and Housing,68401,69298,69111,83631,-,-
Average Benefits,3284,9307,5606,16974,-,-
Average Pension,1638,4060,6061,6724,-,-
Total Compensation Average,73322,82665,80778,107328,-,-
Total Compensation 25th Percentile,51569,66871,68499,73822,-,-
Total Compensation Median,73440,81885,80832,89891,-,-
Total Compensation 75th Percentile,74024,101881,84630,145809,-,-
Director of Advancement,,,,,,
Number,4,5,8,3,1,-
Average Salary,-,72748,99710,-,-,-
Median Salary,-,-,95273,-,-,-
Average Salary and Housing,-,72748,99710,-,-,-
Average Benefits,-,4740,11995,-,-,-
Average Pension,-,10475,6699,-,-,-
Total Compensation Average,-,87963,118403,-,-,-
Total Compensation 25th Percentile,-,26400,83757,-,-,-
Total Compensation Median,-,75842,120816,-,-,-
Total Compensation 75th Percentile,-,105798,133607,-,-,-
Director of Assessment,,,,,,
Number,10,8,5,1,5,2
Average Salary,51180,76171,87071,-,63596,-
Median Salary,55736,78960,-,-,-,-
Average Salary and Housing,51180,76171,87071,-,63596,-
Average Benefits,3961,4415,8206,-,7614,-
Average Pension,3541,4546,5685,-,7372,-
Total Compensation Average,58683,85131,100962,-,78582,-
Total Compensation 25th Percentile,29664,67110,30000,-,61895,-
Total Compensation Median,58000,86241,111626,-,75341,-
Total Compensation 75th Percentile,78000,97289,135948,-,82736,-
Business Office Manager,,,,,,
Number,15,11,9,3,8,2
Average Salary,69999,78213,86891,-,69415,-
Median Salary,72000,76766,70761,-,63750,-
Average Salary and Housing,69999,78213,86891,-,69415,-
Average Benefits,9424,9721,6757,-,8627,-
Average Pension,3539,5635,4402,-,3311,-
Total Compensation Average,82962,93568,98050,-,81353,-
Total Compensation 25th Percentile,62036,72080,52500,-,55620,-
Total Compensation Median,83744,86093,77114,-,76398,-
Total Compensation 75th Percentile,105040,107581,116016,-,80494,-
