Degree Category,Multi-Racial,col_2,col_3,Not Available,col_5,col_6,col_7,Total,col_9,col_10,col_11,Grand
Degree Program,M,F,O,M,F,O,U,M,F,O,U,Total
Master's Degree Programs,,,,,,,,,,,,
MDiv,356,167,10,1988,682,19,423,18304,7134,221,423,26082
MA (prof),114,185,6,949,1107,0,117,6662,7811,32,117,14622
MA (acad),159,130,5,809,465,6,113,6444,3838,55,113,10450
MA (both),35,26,0,428,391,8,125,2348,1867,28,125,4368
Subtotal MA,308,341,11,2186,1963,14,355,15454,13516,115,355,29440
ThM/STM,17,2,0,178,54,0,8,976,196,3,8,1183
Doctoral Degree Programs,,,,,,,,,,,,
DMin,105,54,3,898,279,2,66,7250,2654,40,66,10010
Other Prof Dr,12,10,0,107,101,0,3,835,646,0,3,1484
"Subtotal DMin and
Other Prof Dr",117,64,3,1005,380,2,69,8085,3300,40,69,11494
PhD/ThD,82,30,0,455,150,2,108,3278,1056,29,108,4471
Non-Degree Programs,,,,,,,,,,,,
NonDegree,67,47,0,742,503,3,161,3675,2468,41,161,6345
Total,947,651,24,6554,3732,40,1124,49772,27670,449,1124,79015
