All Member Schools,col_1,col_2,col_3
Position,"Master's Degrees
(MDiv, MA, ThM/STM)","Doctoral Degreees
(DMin and Other Prof Dr)","Doctoral Degrees
(PhD/ThD)"
Chief Executive Officer (CEO),,,
Number,68,84,55
Average Salary,"143,293","171,990","214,722"
Median Salary,"121,513","146,193","208,000"
Average Salary and Housing,"150,397","177,521","221,578"
Average Benefits,"15,030","16,802","18,661"
Average Pension,"8,936","11,180","18,499"
Total Average,"174,363","205,503","258,738"
25th percentile,"109,832","131,365","168,093"
Median,"155,754","177,198","239,545"
75th percentile,"210,133","265,000","288,290"
Chief Academic Officer (CAO),,,
Number,62,84,49
Average Salary,"99,419","101,891","130,047"
Median Salary,"94,860","100,000","132,602"
Average Salary and Housing,"102,091","107,998","132,399"
Average Benefits,"12,300","12,284","13,399"
Average Pension,"7,038","8,409","9,627"
Total Average,"121,429","128,691","155,426"
25th percentile,"94,640","92,312","118,742"
Median,"119,004","121,300","152,711"
75th percentile,"139,041","146,959","185,108"
Accreditation Liaison Officer (ALO),,,
Number,1,6,6
Average Salary,-,"73,180","82,960"
Median Salary,-,"75,314","80,000"
Average Salary and Housing,-,"73,180","82,960"
Average Benefits,-,"8,500","9,567"
Average Pension,-,"2,312","4,063"
Total Average,-,"83,992","96,590"
25th percentile,-,"80,000","73,501"
Median,-,"84,864","91,100"
75th percentile,-,"98,687","111,692"
