All Member Schools,col_1,col_2,col_3
Position,"Master's Degrees
(MDiv, MA, ThM/STM)","Doctoral Degreees
(DMin and Other Prof Dr)","Doctoral Degrees
(PhD/ThD)"
"Director of Relations (Alum, External, Church)",,,
Number,1,11,12
Average Salary,-,69636,71598
Median Salary,-,62172,65000
Average Salary and Housing,-,74210,74290
Average Benefits,-,10341,12074
Average Pension,-,5936,5378
Total Average,-,90487,91742
25th percentile,-,63124,66408
Median,-,79243,81311
75th percentile,-,91389,122147
Director of Student Services/Affairs,,,
Number,18,29,21
Average Salary,69295,64895,69090
Median Salary,69668,64203,68850
Average Salary and Housing,69962,64895,69919
Average Benefits,7404,9782,10113
Average Pension,4335,4874,5943
Total Average,81701,79550,85975
25th percentile,75875,62108,67870
Median,81775,79486,81180
75th percentile,89684,90068,102070
Accounting Staff,,,
Number,11,9,22
Average Salary,64970,78507,70695
Median Salary,60321,72100,65000
Average Salary and Housing,64970,78507,70695
Average Benefits,3825,12066,11567
Average Pension,2317,5532,6092
Total Average,71112,96105,88354
25th percentile,58984,71769,66123
Median,68844,93785,76301
75th percentile,75744,99425,104594
