All Member Schools,col_1,col_2,col_3
Position,"Master's Degrees
(MDiv, MA, ThM/STM)","Doctoral Degreees
(DMin and Other Prof Dr)","Doctoral Degrees
(PhD/ThD)"
Director of Library,,,
Number,38,41,27
Average Salary,77535,72307,85975
Median Salary,74250,72754,84638
Average Salary and Housing,78653,74141,85975
Average Benefits,10554,13135,9106
Average Pension,5230,7066,7855
Total Average,94436,94342,102936
25th percentile,68640,73246,81188
Median,89995,89808,99492
75th percentile,113022,110516,118743
Director of Continuing Education/Lifelong Learning,,,
Number,10,23,15
Average Salary,83191,80293,90100
Median Salary,69121,74270,89925
Average Salary and Housing,86891,84032,92766
Average Benefits,13900,15264,10138
Average Pension,4533,6419,10124
Total Average,105324,105715,113028
25th percentile,75000,76680,98061
Median,89694,96868,105831
75th percentile,155184,117782,120047
Director of Marketing,,,
Number,10,17,17
Average Salary,86611,75500,92099
Median Salary,71717,70000,85000
Average Salary and Housing,86611,75500,92099
Average Benefits,12264,10748,7028
Average Pension,8250,3779,7525
Total Average,107125,90027,106652
25th percentile,72101,62400,79585
Median,97489,83167,100881
75th percentile,114753,109010,116670
