"Table 2.12 Head Count and Full-Time Equivalent Enrollment by Degree Category, Fall 2024",col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15
All Member Schools,,,,,,,,,,,,,,,
,,MDiv,,MA,,ThM/STM,,"DMin/Other
Prof Dr",,PhD/ThD,,Other,,Total,
,,HC,FTE,HC,FTE,HC,FTE,HC,FTE,HC,FTE,HC,FTE,HC,FTE
Lexington Theological Seminary,,25,6,14,3,0,0,30,8,0,0,14,3,83,20
Liberty Theological Seminary,,2218,1727,2328,1474,25,12,1269,1144,65,52,263,159,6168,4568
Life Pacific University Seminary,,19,19,9,8,0,0,0,0,0,0,0,0,28,27
Lincoln Seminary at Ozark Christian College,,23,10,108,40,0,0,0,0,0,0,1,0,132,50
Logos Evangelical Seminary,,34,20,127,68,4,2,50,38,1,1,5,3,221,132
Louisville Presbyterian Theological Seminary,,43,29,36,27,0,0,23,23,0,0,0,0,102,79
"Loyola Marymount University Department of
Theological Studies",,0,0,51,22,0,0,0,0,0,0,0,0,51,22
"Loyola University Chicago Institute of Pastoral
Studies",,43,27,118,58,0,0,0,0,0,0,51,20,212,105
Luther Seminary,,199,110,105,53,10,3,0,0,15,10,42,14,371,190
Lutheran School of Theology at Chicago,,40,32,8,6,7,4,12,3,31,28,23,9,121,82
Lutheran Theological Seminary (SK),,5,3,2,1,0,0,7,3,0,0,3,1,17,8
"Lutheran Theological Southern Seminary of Lenoir-
Rhyne University",,38,28,14,11,0,0,0,0,0,0,13,4,65,43
"M. Christopher White School of Divinity of Gardner-
Webb University",,58,40,10,5,0,0,33,22,0,0,0,0,101,67
Martin Luther University College,,8,1,170,19,0,0,0,0,0,0,0,0,178,20
The Master's Seminary,,525,358,148,71,43,21,89,89,7,5,0,0,812,544
McCormick Theological Seminary,,26,16,30,24,0,0,68,11,0,0,1,1,125,52
McGill University School of Religious Studies,,0,0,0,0,2,2,0,0,0,0,0,0,2,2
McMaster Divinity College,,40,24,62,36,0,0,45,45,47,47,50,16,244,168
Meadville Lombard Theological School,,48,34,2,1,0,0,11,11,0,0,0,0,61,46
Memphis Theological Seminary,,51,34,16,9,0,0,82,53,0,0,22,11,171,107
Methodist Theological School in Ohio,,108,77,36,21,0,0,40,0,0,0,5,2,189,100
Mid-America Reformed Seminary,,24,29,5,4,0,0,0,0,0,0,3,1,32,34
Midwestern Baptist Theological Seminary,,744,418,723,343,56,20,600,345,608,376,178,53,2909,1555
Missio Theological Seminary,,2,1,0,0,1,0,16,9,0,0,0,0,19,10
Montreal School of Theology,,25,24,0,0,21,8,0,0,0,0,0,0,46,32
Moody Theological Seminary,,180,107,402,215,0,0,32,29,0,0,40,18,654,369
Moravian Theological Seminary,,20,19,7,3,0,0,0,0,0,0,9,3,36,25
Mount Angel Seminary,,43,46,14,3,0,0,15,15,0,0,0,0,72,64
Mount Saint Mary's Seminary,,81,112,28,41,0,0,0,0,0,0,2,2,111,155
Multnomah Biblical Seminary of Jessup University,,21,15,22,11,0,0,11,7,0,0,0,0,54,33
NAIITS An Indigenous Learning Community,,9,4,13,1,0,0,0,0,22,10,0,0,44,15
Nashotah House,,23,8,47,15,24,2,27,5,0,0,19,2,140,32
Nazarene Theological Seminary,,67,38,25,12,0,0,73,61,0,0,4,1,169,112
New Brunswick Theological Seminary,,46,26,31,13,0,0,53,33,0,0,0,0,130,72
New Orleans Baptist Theological Seminary,,518,340,476,277,12,6,288,147,141,112,25,13,1460,895
Newman Theological College,,27,28,102,31,0,0,0,0,0,0,80,79,209,138
North Park Theological Seminary,,52,28,117,48,0,0,4,11,0,0,66,12,239,99
"Northeastern Seminary at Roberts Wesleyan
University",,55,29,61,24,0,0,75,44,0,0,9,4,200,101
Northern Baptist Theological Seminary,,32,14,138,35,0,0,58,15,0,0,5,1,233,65
Northwest Nazarene Divinity School,,24,12,24,12,0,0,0,0,40,53,1,0,89,77
Northwest Seminary,,23,19,76,39,0,0,32,28,0,0,1,1,132,87
"Northwest University College of Ministry Graduate
Studies",,0,0,67,31,0,0,0,0,0,0,2,1,69,32
Notre Dame Seminary,,92,92,35,12,0,0,0,0,0,0,0,0,127,104
"Oakwood University School of Theology Graduate
Department",,0,0,18,14,0,0,0,0,0,0,0,0,18,14
