col_0,< 75,75 - 150,151 - 300,301 - 500,501 - 1000,> 1000
Chief Executive Officer (CEO),,,,,,
Number,97,63,32,9,12,5
Average Salary,136376,179582,191561,263408,200314,386149
Median Salary,119032,171065,160096,201144,182070,-
Average Salary and Housing,141880,186865,204511,263408,202749,386149
Average Benefits,10330,17191,20567,29107,22856,41917
Average Pension,8720,11256,13930,20300,19160,34794
Total Compensation Average,160930,215312,239008,312816,244766,462859
Total Compensation 25th Percentile,105169,150000,161475,198752,142586,288290
Total Compensation Median,143000,212200,212464,231935,195515,346841
Total Compensation 75th Percentile,208784,259009,306413,375000,273078,620384
Chief Academic Officer (CAO),,,,,,
Number,85,64,32,10,10,5
Average Salary,86419,112570,122099,124683,126435,179289
Median Salary,88000,109060,112250,118451,130908,-
Average Salary and Housing,90120,117797,124988,124683,128187,186249
Average Benefits,9004,14270,12507,16174,9233,28776
Average Pension,6222,9729,7548,5424,11732,14384
Total Compensation Average,105347,141796,145044,146281,149151,229410
Total Compensation 25th Percentile,81920,99702,105000,111583,109064,175121
Total Compensation Median,105307,138123,142070,121760,144699,246582
Total Compensation 75th Percentile,129586,161561,176538,189744,170680,246883
Executive Vice President,,,,,,
Number,7,5,5,-,10,4
Average Salary,105140,149761,151563,-,114590,-
Median Salary,90094,-,-,-,101619,-
Average Salary and Housing,105892,152161,151563,-,136643,-
Average Benefits,8799,19989,9630,-,7452,-
Average Pension,9928,5175,6412,-,4994,-
Total Compensation Average,124619,177324,167605,-,149090,-
Total Compensation 25th Percentile,51334,98259,124848,-,119362,-
Total Compensation Median,99852,190604,125483,-,130225,-
Total Compensation 75th Percentile,124968,191910,216570,-,159135,-
VP-Administration,,,,,,
Number,12,15,8,1,6,4
Average Salary,89055,111622,120579,-,90602,-
Median Salary,80722,96200,95790,-,92209,-
Average Salary and Housing,93871,115342,123167,-,97349,-
Average Benefits,7212,19482,14703,-,2069,-
Average Pension,6185,10043,11398,-,7084,-
Total Compensation Average,107268,144867,149267,-,106502,-
Total Compensation 25th Percentile,85277,99133,115570,-,65903,-
Total Compensation Median,94605,141903,131477,-,92209,-
Total Compensation 75th Percentile,126452,171704,159416,-,113698,-
