Primary Racial/Ethnic Composition,United States,Canada,Total,% of Total
Asian-descent or Pacific Islander,11,2,13,5%
"Black (Non-Hispanic), African American,
African Canadian",20,0,20,7%
"Hispanic, Latino(a), Latin@",10,0,10,4%
"Indigenous, Native North American, First Nation",0,1,1,0%
"White (Non-Hispanic), Caucasian",151,19,170,60%
Multiracial,14,1,15,5%
Not Available,20,13,33,12%
TOTAL,245,36,281,100%
