Table 2.7 Head Count Enrollment by Degree Category and Program,col_1,col_2,col_3,col_4,col_5
All Member Schools,,,,,
,2020,2021,2022,2023,2024
Master's Degree Programs,,,,,
MDiv,30455,29100,27709,26143,26082
MA (prof),13732,13868,13626,13775,14622
MA (acad),13535,11685,10827,10493,10450
MA (both),0,2037,3343,3756,4368
Subtotal MA,27267,27590,27796,28024,29440
ThM/STM,1250,1333,1315,1288,1183
Doctoral Degree Programs,,,,,
DMin,8757,9639,10194,9886,10010
Other Prof Dr,1575,1596,1508,1421,1484
Subtotal DMin and Other Prof Dr,10332,11235,11702,11307,11494
PhD/ThD,3939,4017,4113,4198,4471
Non-Degree Programs,,,,,
NonDegree,4348,4746,4694,5203,6345
Total,77591,78021,77329,76163,79015
