United States,col_1,col_2,col_3,col_4,col_5,col_6,col_7
Category,,MDiv,MA,ThM/STM,"DMin/Other
Prof Dr",PhD/ThD,Non-Degree
Applicants,,,,,,,
,2023,10039,12321,942,3282,2067,2421
,2024,11422,14287,1176,4275,2366,3441
Acceptances,,,,,,,
2023,,8099,9637,645,2652,804,2150
,% of applicants,81%,78%,69%,81%,39%,89%
2024,,7919,9812,691,3033,883,2881
,% of applicants,69%,69%,59%,71%,37%,84%
New Enrollments,,,,,,,
2023,,5508,6878,458,2036,600,1553
,% of acceptances,68%,71%,71%,77%,75%,72%
2024,,5578,7155,481,2492,631,2214
,% of acceptances,70%,73%,70%,82%,72%,77%
