All Member Schools,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
,United States Canada,,United States Canada,,United States Canada,,United States Canada,
,HR Staff,,IT Help Desk Support,,Library Staff,,Network Administrator,
Number,22,-,12,4,136,11,14,-
Average Salary,73019,-,60910,-,64729,57814,71138,-
Median Salary,70720,-,59085,-,63500,41517,73000,-
Average Salary and Housing,73019,-,60910,-,64729,57814,71138,-
Average Benefits,13337,-,12571,-,12322,4907,15490,-
Average Pension,6932,-,6493,-,5818,6265,5330,-
Total Compensation Average,93288,-,79974,-,82869,68987,91957,-
"Total Compensation 25th
Percentile",75475,-,63523,-,65359,43105,72128,-
Total Compensation Median,97337,-,74662,-,82149,48514,98261,-
"Total Compensation 75th
Percentile",112865,-,93646,-,96002,68139,109218,-
,Recruitment Staff,,Registrar,,,,,
Number,32,8,124,25,,,,
Average Salary,69670,43935,68357,62535,,,,
Median Salary,65222,43419,68016,55553,,,,
Average Salary and Housing,69670,43935,68357,62535,,,,
Average Benefits,8595,4183,10246,4007,,,,
Average Pension,4425,1354,4880,5048,,,,
Total Compensation Average,82690,49471,83483,71591,,,,
"Total Compensation 25th
Percentile",63648,39118,68025,49588,,,,
Total Compensation Median,76631,49919,80633,64492,,,,
"Total Compensation 75th
Percentile",94825,52407,101933,84123,,,,
