United States,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
,2015,,2020,,2023,,2024,
Enrollment size,N,%,N,%,N,%,N,%
< 75,83,36%,88,37%,95,40%,108,44%
75 - 150,72,31%,67,28%,72,30%,68,28%
151 - 300,42,18%,48,20%,35,15%,36,15%
301 - 500,18,8%,16,7%,13,6%,11,5%
501 - 1000,10,4%,10,4%,14,6%,15,6%
> 1000,6,3%,7,3%,6,3%,6,2%
Not Reporting,3,1%,1,0%,2,1%,1,0%
Total,234,100%,237,100%,237,100%,245,100%
