Table 2.3 Full-Time Equivalent Enrollment,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9
All Member Schools,,,,,,,,,
Year,"Schools
Reporting",MDiv,MA,ThM/STM,"DMin/Other
Prof Dr",PhD/ThD,"Total
Degrees",Non-Degree,"Total
Enrollment"
2020,275,22053,15877,793,4494,3939,47156,2081,49237
2021,272,20238,15663,744,4806,4017,45469,2405,47874
2022,280,19380,16184,728,4906,4113,45311,2242,47553
2023,274,18759,14283,484,7638,2870,44033,2352,46385
2024,281,18770,15078,515,7838,3074,45276,2779,48055
United States,,,,,,,,,
Year,"Schools
Reporting",MDiv,MA,ThM/STM,"DMin/Other
Prof Dr",PhD/ThD,"Total
Degrees",Non-Degree,"Total
Enrollment"
2020,237,21093,14817,746,4375,3678,44709,1787,46496
2021,235,19329,14655,675,4684,3773,43115,2101,45215
2022,243,18600,15247,673,4781,3879,43180,2016,45196
2023,237,17907,13379,419,7435,2678,41819,1987,43806
2024,245,17881,14051,469,7618,2935,42954,2374,45327
Canada,,,,,,,,,
Year,"Schools
Reporting",MDiv,MA,ThM/STM,"DMin/Other
Prof Dr",PhD/ThD,"Total
Degrees",Non-Degree,"Total
Enrollment"
2020,38,960,1060,47,119,261,2447,294,2741
2021,37,910,1009,69,123,244,2354,304,2659
2022,37,780,937,55,125,234,2131,225,2356
2023,37,852,904,65,203,192,2215,365,2579
2024,36,889,1027,46,220,139,2322,406,2728
Table 2.3 reports fall full time equivalent enrollment over a five-year period.,,,,,,,,,
