col_0,< 75,75 - 150,151 - 300,301 - 500,501 - 1000,> 1000
Director of Marketing,,,,,,
Number,13,11,9,3,6,2
Average Salary,85185,76778,83474,-,89929,-
Median Salary,81277,70000,77469,-,80892,-
Average Salary and Housing,85185,76778,83474,-,89929,-
Average Benefits,9192,12872,8846,-,2509,-
Average Pension,7321,5041,5175,-,10079,-
Total Compensation Average,101697,94691,97495,-,102517,-
Total Compensation 25th Percentile,59700,75435,64890,-,87410,-
Total Compensation Median,96447,93135,96076,-,88025,-
Total Compensation 75th Percentile,101992,109010,111720,-,103285,-
"Director of Online Education/Distance Learning/Digital
Learning",,,,,,
Number,16,9,9,2,7,5
Average Salary,73371,73128,88118,-,74405,69921
Median Salary,69000,75000,82500,-,76484,-
Average Salary and Housing,73371,73128,88118,-,74405,69921
Average Benefits,4780,13437,11897,-,12622,11545
Average Pension,4772,4922,4053,-,6711,7487
Total Compensation Average,82923,91487,104069,-,93738,88953
Total Compensation 25th Percentile,54758,66560,68000,-,67894,71402
Total Compensation Median,79500,91712,96520,-,98611,80582
Total Compensation 75th Percentile,109218,117273,116873,-,109917,97121
Director of Career/Placement Services,,,,,,
Number,1,2,5,2,2,1
Average Salary,-,-,72103,-,-,-
Median Salary,-,-,-,-,-,-
Average Salary and Housing,-,-,72103,-,-,-
Average Benefits,-,-,8941,-,-,-
Average Pension,-,-,1723,-,-,-
Total Compensation Average,-,-,82766,-,-,-
Total Compensation 25th Percentile,-,-,59619,-,-,-
Total Compensation Median,-,-,82705,-,-,-
Total Compensation 75th Percentile,-,-,95000,-,-,-
Director of Recruitment/Retention,,,,,,
Number,3,4,4,-,5,-
Average Salary,-,-,-,-,77414,-
Median Salary,-,-,-,-,-,-
Average Salary and Housing,-,-,-,-,77414,-
Average Benefits,-,-,-,-,9470,-
Average Pension,-,-,-,-,9211,-
Total Compensation Average,-,-,-,-,96095,-
Total Compensation 25th Percentile,-,-,-,-,77114,-
Total Compensation Median,-,-,-,-,86573,-
Total Compensation 75th Percentile,-,-,-,-,111067,-
