"Table 2.12 Head Count and Full-Time Equivalent Enrollment by Degree Category, Fall 2024",col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15
All Member Schools,,,,,,,,,,,,,,,
,,MDiv,,MA,,ThM/STM,,"DMin/Other
Prof Dr",,PhD/ThD,,Other,,Total,
,,HC,FTE,HC,FTE,HC,FTE,HC,FTE,HC,FTE,HC,FTE,HC,FTE
Seminario Evangélico de Puerto Rico,,76,41,25,11,0,0,25,18,0,0,9,8,135,78
Seminario Teológico de Puerto Rico,,30,7,64,7,0,0,24,6,0,0,21,2,139,22
Seminary of the Southwest,,34,33,74,47,0,0,0,0,0,0,0,0,108,80
"Seventh-day Adventist Theological Seminary of
Andrews University",,443,378,330,151,0,0,95,83,87,41,10,2,965,655
Shaw University Divinity School,,39,26,26,17,0,0,0,0,0,0,0,0,65,43
Shepherds Theological Seminary,,72,39,118,70,6,2,24,20,0,0,4,1,224,132
Southeastern Baptist Theological Seminary,,776,441,929,476,32,8,327,136,124,73,75,31,2263,1165
Southeastern University School of Divinity,,104,72,205,118,0,0,40,33,0,0,0,0,349,223
Southern Baptist Theological Seminary,,1744,947,731,332,46,18,307,200,290,181,253,135,3371,1813
"Southern California Seminary Graduate School of
Bible and Theology",,19,9,45,21,6,3,5,5,0,0,1,1,76,39
Southwestern Baptist Theological Seminary,,650,346,1018,420,55,21,308,92,206,116,41,11,2278,1006
St. Andrew's College,,3,2,9,4,0,0,3,3,0,0,3,2,18,11
St. Augustine's Seminary of Toronto,,61,44,22,9,0,0,0,0,0,0,47,18,130,71
St. Bernard's School of Theology and Ministry,,10,4,62,23,0,0,0,0,0,0,84,13,156,40
St. Charles Borromeo Seminary,,51,72,62,39,0,0,0,0,0,0,0,0,113,111
St. John Vianney Theological Seminary,,52,67,0,0,0,0,0,0,0,0,0,0,52,67
St. John's Seminary (CA),,52,9,42,7,0,0,0,0,0,0,0,0,94,16
St. Joseph's Seminary and College,,56,69,75,27,0,0,0,0,0,0,24,4,155,100
St. Mark's College,,0,0,32,14,0,0,0,0,0,0,37,19,69,33
St. Mary's Seminary and University,,53,69,32,13,0,0,17,11,0,0,57,28,159,121
St. Peter's Seminary,,30,26,4,2,0,0,0,0,0,0,0,0,34,28
St. Stephen's College at the University of Alberta,,0,0,73,62,0,0,18,15,0,0,22,11,113,88
St. Tikhon's Orthodox Theological Seminary,,39,48,0,0,0,0,0,0,0,0,0,0,39,48
St. Vincent de Paul Regional Seminary,,102,82,24,19,0,0,0,0,0,0,17,15,143,116
St. Vladimir's Orthodox Theological Seminary,,49,43,16,10,7,6,18,10,0,0,3,1,93,70
Stark Seminary of Stark College and Seminary,,15,5,60,25,0,0,0,0,0,0,0,0,75,30
Starr King School for the Ministry,,64,43,5,3,0,0,0,0,0,0,7,2,76,48
Talbot School of Theology of Biola University,,268,152,750,362,0,0,247,143,113,67,79,31,1457,755
Trinity Anglican Seminary,,45,37,40,17,2,1,8,8,0,0,37,11,132,74
Trinity College Faculty of Divinity,,30,21,28,13,1,0,6,6,12,12,3,1,80,53
"Trinity Evangelical Divinity School of Trinity
International University",,145,100,254,118,24,9,106,42,137,83,147,51,813,403
Trinity Graduate School at Trinity Bible College,,0,0,103,73,0,0,31,28,32,46,0,0,166,147
Trinity Lutheran Seminary at Capital University,,14,8,26,14,0,0,0,0,0,0,6,2,46,24
Tyndale Seminary of Tyndale University,,426,263,274,147,5,2,94,71,0,0,74,29,873,512
Union Presbyterian Seminary,,109,81,30,18,0,0,13,11,0,0,7,2,159,112
Union Theological Seminary,,115,123,67,68,2,2,14,14,16,6,20,7,234,220
United Lutheran Seminary,,92,78,41,21,17,5,88,44,4,5,84,3,326,156
United Theological Seminary,,211,130,69,37,0,0,222,370,6,6,2,1,510,544
United Theological Seminary of the Twin Cities,,109,59,51,21,0,0,55,36,0,0,12,4,227,120
University of Chicago Divinity School,,47,1,73,2,0,0,0,0,98,6,0,0,218,9
"University of Dayton Department of Religious
Studies",,0,0,13,6,0,0,0,0,28,21,0,0,41,27
University of Dubuque Theological Seminary,,45,37,20,10,0,0,45,32,0,0,0,0,110,79
"University of Northwestern-St. Paul School of
Theology and Ministry",,14,9,24,12,0,0,0,0,0,0,1,0,39,21
University of Notre Dame Department of Theology,,44,48,177,88,0,0,0,0,83,131,0,0,304,267
