All Member Schools,col_1,col_2,col_3
Position,"Master's Degrees
(MDiv, MA, ThM/STM)","Doctoral Degreees
(DMin and Other Prof Dr)","Doctoral Degrees
(PhD/ThD)"
"Director of Online Education/Distance Learning/Digital
Learning",,,
Number,9,19,18
Average Salary,72943,83974,73635
Median Salary,75000,83000,67000
Average Salary and Housing,72943,83974,73635
Average Benefits,6645,8615,15387
Average Pension,4178,4865,7097
Total Average,83767,97454,96119
25th percentile,57500,80526,71402
Median,75000,94000,96020
75th percentile,115061,111242,116873
Director of Career/Placement Services,,,
Number,1,8,4
Average Salary,-,67955,-
Median Salary,-,71400,-
Average Salary and Housing,-,67955,-
Average Benefits,-,6698,-
Average Pension,-,4303,-
Total Average,-,78956,-
25th percentile,-,65326,-
Median,-,82705,-
75th percentile,-,95000,-
Director of Recruitment/Retention,,,
Number,-,7,9
Average Salary,-,66061,77165
Median Salary,-,60000,74229
Average Salary and Housing,-,71204,77165
Average Benefits,-,9215,10653
Average Pension,-,4542,8032
Total Average,-,84961,95850
25th percentile,-,56649,83183
Median,-,72345,93156
75th percentile,-,109178,109181
