Table 4.3 Average Expenditure Per Student Head Count and Full-time Equivalent Student,col_1,col_2,col_3,col_4,col_5,col_6
"Student Head Count, Canada",,,,,,
Expenditures,,2019-20,2020-21,2021-22,2022-23,2023-24
,Instruction,8959,8531,9124,10786,10729
,Research,34,7,63,114,176
,Public Service,180,154,200,291,233
,Library,1029,1067,1113,1285,1199
,Academic Support,817,487,460,780,810
,Student Services,452,364,412,627,729
,Admissions,892,832,907,1064,1232
,Institutional Support,5169,5023,5087,6259,6141
,Operation and Maintenance of Plant,4173,3783,3809,4749,4859
,Scholarships and Fellowships,1566,1756,1760,1956,1972
,Auxiliary Enterprises,1471,1297,1572,2072,2085
,Total Expenditures,24742,23300,24508,29983,30167
"Full-time Equivalent Student, Canada",,,,,,
Expenditures,,2019-20,2020-21,2021-22,2022-23,2023-24
,Instruction,16120,15767,16837,20798,19407
,Research,62,12,117,220,319
,Public Service,324,285,370,560,422
,Library,1852,1972,2054,2478,2169
,Academic Support,1470,900,849,1504,1465
,Student Services,814,673,761,1209,1318
,Admissions,1605,1538,1674,2051,2229
,Institutional Support,9300,9283,9387,12069,11108
,Operation and Maintenance of Plant,7509,6991,7029,9158,8789
,Scholarships and Fellowships,2818,3245,3247,3772,3568
,Auxiliary Enterprises,2647,2398,2901,3996,3772
,Total Expenditures,44519,43064,45227,57815,54567
