col_0,< 75,75 - 150,151 - 300,301 - 500,501 - 1000,> 1000
Academic Dean - Other,,,,,,
Number,13,13,17,4,23,15
Average Salary,88080,102167,118558,-,106076,91392
Median Salary,80226,99840,112205,-,94952,97099
Average Salary and Housing,88080,103091,118558,-,108827,91392
Average Benefits,8482,20580,19354,-,14031,17620
Average Pension,6718,6680,8865,-,10496,5027
Total Compensation Average,103280,130350,146778,-,133355,114040
Total Compensation 25th Percentile,77807,91986,112205,-,108421,92499
Total Compensation Median,98000,123497,144513,-,124023,114484
Total Compensation 75th Percentile,114587,157844,172081,-,150346,121381
Dean of Chapel/Chaplain,,,,,,
Number,7,10,7,1,1,1
Average Salary,54923,74766,70879,-,-,-
Median Salary,58123,71186,57222,-,-,-
Average Salary and Housing,56981,81646,76879,-,-,-
Average Benefits,9144,10554,14838,-,-,-
Average Pension,6085,7165,3651,-,-,-
Total Compensation Average,72211,99365,95368,-,-,-
Total Compensation 25th Percentile,42273,88199,60565,-,-,-
Total Compensation Median,72998,94822,90423,-,-,-
Total Compensation 75th Percentile,83548,120826,101500,-,-,-
Dean of Students,,,,,,
Number,11,23,15,6,7,3
Average Salary,60307,80542,100798,95206,92790,-
Median Salary,55590,83048,101561,75000,100000,-
Average Salary and Housing,66528,87290,102798,95206,92790,-
Average Benefits,7937,12559,12975,13135,13000,-
Average Pension,4700,7658,7704,6428,8136,-
Total Compensation Average,79165,107508,123477,114769,113926,-
Total Compensation 25th Percentile,36860,74403,90682,70000,68339,-
Total Compensation Median,94978,106283,101561,91350,113596,-
Total Compensation 75th Percentile,103163,134553,133141,127022,132563,-
Director/Chair of Academic Degree Program,,,,,,
Number,10,16,12,8,9,4
Average Salary,74038,71620,71939,124707,72815,-
Median Salary,51510,66500,72717,89376,68496,-
Average Salary and Housing,78478,72305,77689,126343,73215,-
Average Benefits,7362,8321,8280,18321,14501,-
Average Pension,1990,5283,3617,6972,8991,-
Total Compensation Average,87830,85909,89585,151635,96707,-
Total Compensation 25th Percentile,66000,65280,70523,80000,44906,-
Total Compensation Median,72536,77377,78838,109367,87748,-
Total Compensation 75th Percentile,91305,103312,99000,226667,118364,-
