Canada,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
,2015,,2020,,2023,,2024,
Enrollment size,N,%,N,%,N,%,N,%
< 75,14,34%,13,34%,15,41%,15,42%
75 - 150,12,29%,14,37%,10,27%,9,25%
151 - 300,10,24%,7,18%,10,27%,10,28%
301 - 500,2,5%,2,5%,1,3%,1,3%
501 - 1000,1,2%,1,3%,1,3%,1,3%
> 1000,0,-,0,-,0,-,0,-
Not Reporting,2,5%,1,3%,0,-,0,-
Total,41,100%,38,100%,37,100%,36,100%
