Table 5.1 Total Giving by Source 2024,col_1,col_2,col_3,col_4,col_5,col_6,col_7
All Member Schools,,,,,,,
,,Operating Gifts,,,Other Purpose Gifts,,
,,"Amount
$000s",% of Total,,"Amount
$000s",% of Total,
Individuals,,,,,,,
,Alumni/ae,48791,7%,,90992,26%,
,Friends,301443,43%,,152112,43%,
,Subtotals,350234,50%,,243104,68%,
Organization,,,,,,,
,Foundations,198099,28%,,70591,20%,
,Corporations,27666,4%,,8625,2%,
,Religious Organizations,91044,13%,,13136,4%,
,Other Organizations,40822,6%,,20109,6%,
,Subtotals,357631,51%,,112461,32%,
Number of Respondents: 281,,,,,,,
United States,,,,,,,
,,Operating Gifts,,,Other Purpose Gifts,,
,,"Amount
$000s",% of Total,,"Amount
$000s",% of Total,
Individuals,,,,,,,
,Alumni/ae,46914,7%,,90666,27%,
,Friends,293857,43%,,147405,43%,
,Subtotals,340771,50%,,238070,70%,
Organization,,,,,,,
,Foundations,191662,28%,,64603,19%,
,Corporations,26921,4%,,7215,2%,
,Religious Organizations,85756,13%,,11987,4%,
,Other Organizations,39779,6%,,20032,6%,
,Subtotals,344118,50%,,103837,30%,
Number of Respondents: 245,,,,,,,
Canada,,,,,,,
,,Operating Gifts,,,Other Purpose Gifts,,
,,"Amount
$000s",% of Total,,"Amount
$000s",% of Total,
Individuals,,,,,,,
,Alumni/ae,2568,8%,,447,2%,
,Friends,10378,33%,,6440,35%,
,Subtotals,12946,41%,,6886,37%,
Organization,,,,,,,
,Foundations,8806,28%,,8192,44%,
,Corporations,1019,3%,,1928,10%,
,Religious Organizations,7235,23%,,1572,8%,
,Other Organizations,1427,5%,,106,1%,
,Subtotals,18487,59%,,11798,63%,
Number of Respondents: 36,,,,,,,
"Figures for ""All Member Schools"" and ""United States"" are in U.S. dollars, figures for ""Canada"" are in Canadian dollars.",,,,,,,
