Canada,col_1,col_2,col_3,col_4
,2023-2024,,2024-2025,
,$,N,$,N
Financial Aid Officer,61673,5,-,4
HR Staff,-,1,-,-
IT Help Desk Support,-,2,-,4
Library Staff,89846,11,94378,11
Recruitment Staff,64430,9,67680,8
Registrar,90149,24,97940,25
Faculty,,,,
Professor,142816,61,145028,51
Associate Professor,112469,67,113365,73
Assistant Professor,100456,46,103947,45
Not Ranked,-,3,-,1
