"Table 4.5 Average Total Expenditures Per Full-Time Equivalent Student by Full-Time
Equivalent Enrollment Size",col_1,col_2,col_3,col_4
,2022-23,,2023-24,
,Average,N,Average,N
United States Schools,,,,
< 75,86979,88,93969,94
75 - 150,63369,73,67865,72
151 - 300,48847,45,75215,34
301 - 500,63353,12,47089,13
501 - 1000,43092,10,44026,14
> 1000,22787,7,22395,6
Canadian Schools,,,,
< 75,77763,27,81854,23
75 - 150,44437,6,38089,9
151 - 300,36696,3,53564,2
301 - 500,60798,1,48475,1
501 - 1000,0,0,0,0
> 1000,0,0,0,0
"All data is displayed in U.S. dollars.
N = Number reporting.",,,,
