Table 1.6 Number of Accredited Schools Offering Approved Degrees by Category,col_1,col_2
All Member Schools,,
Degree Category,2023-2024,2024-2025
Master's Degree Programs (MDiv),242,246
Master's Degree Programs (MA),248,250
Master's Degree Programs (ThM/STM),89,91
Doctoral Degree Programs (DMin and Other Professional Doctorate),164,169
Doctoral Degree Programs (PhD/ThD),68,71
United States,,
Degree Category,2023-2024,2024-2025
Master's Degree Programs (MDiv),210,214
Master's Degree Programs (MA),217,219
Master's Degree Programs (ThM/STM),73,75
Doctoral Degree Programs (DMin and Other Professional Doctorate),148,153
Doctoral Degree Programs (PhD/ThD),60,63
Canada,,
Degree Category,2023-2024,2024-2025
Master's Degree Programs (MDiv),32,32
Master's Degree Programs (MA),31,31
Master's Degree Programs (ThM/STM),16,16
Doctoral Degree Programs (DMin and Other Professional Doctorate),16,16
Doctoral Degree Programs (PhD/ThD),8,8
