All Member Schools,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
,United States Canada,,United States Canada,,United States Canada,,United States Canada,
,Dean of Chapel/Chaplain,,Dean of Students,,"Director/Chair of Academic
Degree Program",,Director of Admissions,
Number,26,1,59,6,55,4,45,1
Average Salary,71273,-,86365,70384,77326,-,70908,-
Median Salary,67792,-,87418,52191,70800,-,68000,-
Average Salary and Housing,76089,-,90570,71297,79691,-,70908,-
Average Benefits,11766,-,12947,3766,11219,-,8886,-
Average Pension,5769,-,6996,7669,4881,-,4209,-
Total Compensation Average,93624,-,110514,82732,95791,-,84003,-
"Total Compensation 25th
Percentile",60565,-,88669,54356,66824,-,66818,-
Total Compensation Median,90423,-,105151,57468,87401,-,81885,-
"Total Compensation 75th
Percentile",113661,-,132563,92774,108160,-,101881,-
,Director of Advancement,,Director of Assessment,,Business Office Manager,,Director of Communications,
Number,18,3,30,1,47,1,36,2
Average Salary,96478,-,66796,-,78260,-,88873,-
Median Salary,88170,-,67112,-,72702,-,87550,-
Average Salary and Housing,96478,-,66796,-,78260,-,89873,-
Average Benefits,12126,-,5777,-,9055,-,12590,-
Average Pension,6692,-,5148,-,4561,-,7973,-
Total Compensation Average,115295,-,77721,-,91876,-,110435,-
"Total Compensation 25th
Percentile",94936,-,61895,-,72080,-,76347,-
Total Compensation Median,105798,-,77302,-,83744,-,102225,-
"Total Compensation 75th
Percentile",140720,-,97289,-,112824,-,136935,-
,"Director of Doctor of
Ministry",,"Director of Enrollment
Management",,Facilities Director,,Director of Field Education,
Number,22,-,28,1,34,3,48,1
Average Salary,79453,-,98805,-,88702,-,69986,-
Median Salary,81120,-,90177,-,81650,-,70000,-
Average Salary and Housing,80704,-,98805,-,90230,-,72418,-
Average Benefits,9657,-,11665,-,15149,-,12974,-
Average Pension,5214,-,7897,-,7290,-,6046,-
Total Compensation Average,95575,-,118366,-,112669,-,91438,-
"Total Compensation 25th
Percentile",81115,-,78000,-,90360,-,75922,-
Total Compensation Median,100210,-,112325,-,105824,-,89094,-
"Total Compensation 75th
Percentile",110776,-,133380,-,118476,-,111808,-
