All Member Schools,col_1,col_2,col_3
Position,"Master's Degrees
(MDiv, MA, ThM/STM)","Doctoral Degreees
(DMin and Other Prof Dr)","Doctoral Degrees
(PhD/ThD)"
Educational Technology Staff,,,
Number,1,13,5
Average Salary,-,69387,68454
Median Salary,-,67320,70000
Average Salary and Housing,-,69387,68454
Average Benefits,-,12684,11531
Average Pension,-,6890,3136
Total Average,-,88961,83121
25th percentile,-,65295,64738
Median,-,85651,78125
75th percentile,-,90932,82332
Financial Aid Officer,,,
Number,12,14,18
Average Salary,66451,52714,70148
Median Salary,49440,50000,66654
Average Salary and Housing,66451,52714,70148
Average Benefits,6164,9037,8820
Average Pension,4381,3432,6166
Total Average,76996,65182,85135
25th percentile,41706,47444,74034
Median,65771,63586,85086
75th percentile,95740,82140,91307
HR Staff,,,
Number,4,8,9
Average Salary,-,71315,71317
Median Salary,-,69800,70720
Average Salary and Housing,-,71315,71317
Average Benefits,-,18269,8700
Average Pension,-,7448,6139
Total Average,-,97031,86155
25th percentile,-,79048,61302
Median,-,101226,89212
75th percentile,-,112804,111767
