Table 2.8 Full-Time Equivalent Enrollment by Degree Category and Program,col_1,col_2,col_3,col_4,col_5
United States,,,,,
,2020,2021,2022,2023,2024
Master's Degree Programs,,,,,
MDiv,21093,19329,18600,17907,17881
MA (prof),8073,7951,7871,6981,7263
MA (acad),6744,5786,5813,5020,5152
MA (both),0,918,1562,1378,1636
Subtotal MA,14817,14655,15247,13379,14051
ThM/STM,746,675,673,419,469
Doctoral Degree Programs,,,,,
DMin,2847,3132,3326,6432,6586
Other Prof Dr,1528,1552,1455,1003,1032
Subtotal DMin and Other Prof Dr,4375,4684,4781,7435,7618
PhD/ThD,3678,3773,3879,2678,2935
Non-Degree Programs,,,,,
NonDegree,1787,2101,2016,1987,2374
Total,46495,45217,45195,43805,45328
Canada,,,,,
,2020,2021,2022,2023,2024
Master's Degree Programs,,,,,
MDiv,960,910,780,852,889
MA (prof),519,524,492,513,593
MA (acad),541,301,199,187,143
MA (both),0,184,245,204,292
Subtotal MA,1060,1009,937,904,1027
ThM/STM,47,69,55,65,46
Doctoral Degree Programs,,,,,
DMin,72,79,72,163,175
Other Prof Dr,47,44,53,40,45
Subtotal DMin and Other Prof Dr,119,123,125,203,220
PhD/ThD,261,244,234,192,139
Non-Degree Programs,,,,,
NonDegree,294,304,225,365,406
Total,2741,2659,2355,2581,2727
