United States,col_1,col_2,col_3,col_4
,2023-2024,,2024-2025,
,$,N,$,N
Director of Career/Placement Services,88538,15,84051,13
Director of Recruitment/Retention,92288,14,91086,16
"Director of Relations (Alum, External, Church)",90784,14,92415,22
Director of Student Services/Affairs,81258,61,83740,62
Accounting Staff,84132,33,87248,38
Admissions Officer,79755,103,81137,91
Alum Officer,93152,23,96360,19
Business Office Staff,74176,30,79793,39
Communications Staff,79897,60,87392,60
Data Specialist,82497,8,75513,12
Development Professional Staff,99450,134,100928,121
Educational Technology Staff,79364,10,87352,19
Financial Aid Officer,80263,55,79888,40
HR Staff,91231,15,96302,21
Developer,-,4,-,4
IT Help Desk Support,76009,9,79973,12
Library Staff,78684,134,82868,136
Network Administrator,83787,12,91957,14
PC Technician,-,4,-,4
Recruitment Staff,80297,43,82690,32
Registrar,81360,125,84733,121
Title IX Coordinator,-,3,-,3
Faculty,,,,
Professor,126451,1060,127747,1054
Associate Professor,108591,654,109806,630
Assistant Professor,89094,555,90465,563
Not Ranked,115409,26,118426,25
