col_0,col_1,col_2,col_3,Prov/,Church/,Expenditures,LT Invest,Faculty,col_9,Enrollment,col_11,MDiv
Name,Status,IUC,Race,State,Denom,$thousands,$millions,FT,FTE,HC,FTE,Tuition + Fees
Canadian Baptist Theological Seminary,ACCRED,C,W,AB,CNBC,2673,8.6,5,6,45,27,11503
Canadian Reformed Theological Seminary,ACCRED,I,W,ON,CANREF,2095,0.0,5,5,30,39,3500
Candler School of Theology of Emory University,ACCRED,U,M,GA,UMC,32481,340.8,35,49,416,373,27550
Carey Theological College,ACCRED,I,N,BC,BAPTWC,1204,1.5,2,9,53,22,9315
Catholic International University Graduate School of Theology,ACCRED,U,W,WV,RC,3003,0.9,6,11,88,35,0
Catholic Theological Union,ACCRED,I,W,IL,RC,9939,45.7,13,16,206,134,26862
Catholic University of America School of Theology and Religious Studies,ACCRED,U,W,DC,RC,7501,28.6,20,20,240,144,34180
Central Baptist Theological Seminary,ACCRED,I,V,KS,ABCUSA,5161,4.5,21,21,355,276,7540
Central Baptist Theological Seminary of Minneapolis,ACCRED,I,W,MN,INDBAP,2278,4.5,2,5,96,41,9370
Chapman Seminary of Oakland City University,ACCRED,U,W,IN,GENBAPT,520,0.5,1,2,3,2,8250
Charlotte Theological Seminary,ASSOC,I,n/a,NC,NONDEN,1240,0.0,1,3,39,19,12858
Chicago Theological Seminary,ACCRED,I,W,IL,UCC,9025,28.7,12,15,201,127,26448
China Evangelical Seminary North America,ACCRED,I,V,CA,NONDEN,2534,3.3,5,5,134,43,9915
Christ School of Theology of the Institute of Lutheran Theology,ACCRED,U,M,SD,INTER,1331,0.5,5,10,97,39,11193
Christian Theological Seminary,ACCRED,I,W,IN,DISCPL,22984,153.0,16,20,154,117,13523
Christian Witness Theological Seminary,ACCRED,I,A,CA,INTER,1861,2.2,5,7,93,66,9328
Church Divinity School of the Pacific,ACCRED,I,n/a,CA,EPISC,6217,43.3,4,6,40,27,18010
Clamp Divinity School at Anderson University,ASSOC,U,n/a,SC,SCBC,860,0.0,3,6,123,95,8000
Claremont School of Theology,ACCRED,I,A,CA,UMC,10142,17.3,20,26,205,106,26520
Colgate Rochester Crozer Divinity School,ACCRED,I,B,NY,ABCUSA,2835,19.3,4,9,81,48,3900
Columbia Biblical Seminary of Columbia International University,ACCRED,C,A,SC,INTER,949,0.0,6,18,696,182,14950
Columbia Theological Seminary,ACCRED,I,B,GA,PCUSA,19974,284.4,17,20,192,128,21542
Concordia Lutheran Seminary (AB),ACCRED,I,W,AB,LUTHCA,1188,5.5,3,3,8,8,15410
Concordia Lutheran Theological Seminary (ON),ACCRED,I,W,ON,LUTHCA,936,5.7,4,5,20,12,9017
Concordia Seminary (MO),ACCRED,I,W,MO,LUTHMS,34487,240.1,26,35,591,257,33225
Concordia Theological Seminary (IN),ACCRED,I,W,IN,LUTHMS,22193,93.0,21,25,279,134,36819
Cornerstone Theological Seminary,ACCRED,C,W,MI,INTER,1295,5.5,6,8,99,46,10656
Covenant Theological Seminary,ACCRED,I,W,MO,PCA,11984,52.8,17,29,550,290,15717
Crown College Graduate School of Ministry,ACCRED,C,M,MN,CMA,644,0.0,1,17,122,58,11740
Dallas Theological Seminary,ACCRED,I,W,TX,NONDEN,64346,143.8,59,80,2609,1361,21070
Denver Seminary,ACCRED,I,W,CO,INTER,17639,59.4,25,51,828,406,14340
Dickerson-Green Theological Seminary of Allen University,ACCRED,U,B,SC,AME,24789,0.0,3,3,44,25,4900
Dominican House of Studies,ACCRED,I,W,DC,RC,8028,16.3,16,19,74,111,18856
Dominican School of Philosophy and Theology,ACCRED,I,W,CA,RC,3379,8.7,14,16,51,50,21630
Drew University Theological School,ACCRED,U,M,NJ,UMC,13961,28.8,23,28,374,311,1000
