col_0,< 75,75 - 150,151 - 300,301 - 500,501 - 1000,> 1000
VP/Director-HR,,,,,,
Number,3,4,11,3,3,4
Average Salary,-,-,123074,-,-,-
Median Salary,-,-,116375,-,-,-
Average Salary and Housing,-,-,125801,-,-,-
Average Benefits,-,-,15060,-,-,-
Average Pension,-,-,10109,-,-,-
Total Compensation Average,-,-,150970,-,-,-
Total Compensation 25th Percentile,-,-,95121,-,-,-
Total Compensation Median,-,-,131860,-,-,-
Total Compensation 75th Percentile,-,-,152560,-,-,-
Chief Development Officer,,,,,,
Number,34,25,12,4,8,3
Average Salary,105932,132185,152975,-,135729,-
Median Salary,97262,125000,135000,-,128092,-
Average Salary and Housing,107379,134425,153808,-,135729,-
Average Benefits,10695,12515,17173,-,11078,-
Average Pension,7880,10765,12429,-,14667,-
Total Compensation Average,125954,157705,183410,-,161474,-
Total Compensation 25th Percentile,86964,117295,161652,-,110700,-
Total Compensation Median,120000,151505,182611,-,153670,-
Total Compensation 75th Percentile,162208,198332,221138,-,170974,-
VP-Finance (CFO),,,,,,
Number,37,44,20,5,11,5
Average Salary,105640,128984,152066,145546,150402,133482
Median Salary,98000,125664,135482,-,144613,-
Average Salary and Housing,105640,130916,152066,145546,150402,133482
Average Benefits,7172,13618,14834,23465,17632,15254
Average Pension,8168,10379,9614,9526,14756,10715
Total Compensation Average,120979,154912,176514,178537,182790,159452
Total Compensation 25th Percentile,83942,102505,128734,110158,157049,111935
Total Compensation Median,110854,152995,155937,186387,182632,169123
Total Compensation 75th Percentile,156518,197765,212777,195750,202797,171601
VP-Operations/Facilities (COO),,,,,,
Number,11,8,3,2,3,3
Average Salary,98562,139106,-,-,-,-
Median Salary,107060,117800,-,-,-,-
Average Salary and Housing,98562,140356,-,-,-,-
Average Benefits,12730,10584,-,-,-,-
Average Pension,5954,11600,-,-,-,-
Total Compensation Average,117246,162540,-,-,-,-
Total Compensation 25th Percentile,81604,112519,-,-,-,-
Total Compensation Median,128328,131798,-,-,-,-
Total Compensation 75th Percentile,143300,172457,-,-,-,-
