col_0,< 75,75 - 150,151 - 300,301 - 500,501 - 1000,> 1000
Alum Officer,,,,,,
Number,4,6,5,1,3,1
Average Salary,-,73020,66261,-,-,-
Median Salary,-,70000,-,-,-,-
Average Salary and Housing,-,73020,66261,-,-,-
Average Benefits,-,16681,9361,-,-,-
Average Pension,-,7217,4701,-,-,-
Total Compensation Average,-,96918,80324,-,-,-
Total Compensation 25th Percentile,-,82644,52991,-,-,-
Total Compensation Median,-,89600,76559,-,-,-
Total Compensation 75th Percentile,-,125677,76592,-,-,-
Business Office Staff,,,,,,
Number,13,13,15,-,3,-
Average Salary,58078,57727,78488,-,-,-
Median Salary,53560,49692,70720,-,-,-
Average Salary and Housing,58078,57727,78488,-,-,-
Average Benefits,5761,8581,6146,-,-,-
Average Pension,5150,4717,3970,-,-,-
Total Compensation Average,68989,71025,88604,-,-,-
Total Compensation 25th Percentile,53526,53602,62744,-,-,-
Total Compensation Median,65000,57519,86177,-,-,-
Total Compensation 75th Percentile,81229,75450,104845,-,-,-
Communications Staff,,,,,,
Number,17,18,17,7,7,1
Average Salary,55987,65098,68326,87172,69817,-
Median Salary,57120,66300,67763,101041,73440,-
Average Salary and Housing,55987,66165,68326,87172,69817,-
Average Benefits,6621,11924,14593,16762,5184,-
Average Pension,4239,5972,4897,9204,1592,-
Total Compensation Average,66847,84061,87817,113139,76593,-
Total Compensation 25th Percentile,52596,50703,67763,80649,50847,-
Total Compensation Median,67851,85075,86006,132103,89911,-
Total Compensation 75th Percentile,79552,104351,108500,133071,92700,-
Data Specialist,,,,,,
Number,5,2,3,1,1,-
Average Salary,55399,-,-,-,-,-
Median Salary,-,-,-,-,-,-
Average Salary and Housing,55399,-,-,-,-,-
Average Benefits,6107,-,-,-,-,-
Average Pension,4845,-,-,-,-,-
Total Compensation Average,66351,-,-,-,-,-
Total Compensation 25th Percentile,44020,-,-,-,-,-
Total Compensation Median,70889,-,-,-,-,-
Total Compensation 75th Percentile,82678,-,-,-,-,-
