Degree Category,col_1,Multi-Racial,col_3,col_4,Not Available,col_6,col_7,col_8,Total,col_10,col_11,col_12,Grand
,Degree Program,M,F,O,M,F,O,U,M,F,O,U,Total
Master's Degree Programs,,,,,,,,,,,,,
,MDiv,84,52,4,393,115,2,117,4007,1686,61,117,5871
,MA (prof),41,59,1,194,238,0,34,1552,2010,13,34,3609
,MA (acad),46,38,1,230,123,2,9,1671,1118,23,9,2821
,MA (both),9,11,0,97,127,6,40,684,559,9,40,1292
,Subtotal MA,96,108,2,521,488,8,83,3907,3687,45,83,7722
,ThM/STM,7,3,0,48,22,0,3,391,111,4,3,509
Doctoral Degree Programs,,,,,,,,,,,,,
,DMin,25,12,2,146,51,4,27,1503,721,12,27,2263
,Other Prof Dr,2,3,0,19,22,0,1,127,153,0,1,281
,"Subtotal DMin and
Other Prof Dr",27,15,2,165,73,4,28,1630,874,12,28,2544
,PhD/ThD,11,4,0,73,29,1,0,477,180,5,0,662
Non-Degree Programs,,,,,,,,,,,,,
,NonDegree,32,18,0,234,208,1,60,1453,1033,6,60,2552
Total,,257,200,8,1434,935,16,291,11865,7571,133,291,19860
