col_0,< 75,75 - 150,151 - 300,301 - 500,501 - 1000,> 1000
Not Ranked,,,,,,
Number,5,3,14,4,-,-
Average Salary,"53,312",-,"87,836",-,-,-
Median Salary,-,-,"76,103",-,-,-
Average Salary and Housing,"55,312",-,"89,936",-,-,-
Average Benefits,"7,478",-,"20,087",-,-,-
Average Pension,"2,700",-,"6,236",-,-,-
Total Compensation Average,"65,490",-,"116,259",-,-,-
Total Compensation 25th Percentile,"38,448",-,"100,100",-,-,-
Total Compensation Median,"58,004",-,"109,120",-,-,-
Total Compensation 75th Percentile,"71,200",-,"133,202",-,-,-
