col_0,< 75,75 - 150,151 - 300,301 - 500,501 - 1000,> 1000
Development Professional Staff,,,,,,
Number,19,47,30,6,17,7
Average Salary,70442,79760,95955,100146,66823,66378
Median Salary,66245,78824,94760,82743,71400,54211
Average Salary and Housing,70442,79760,95955,100146,66823,66378
Average Benefits,7436,14547,12226,22022,8223,12112
Average Pension,5214,6523,6436,9724,7552,7695
Total Compensation Average,83091,100830,114618,131892,82598,86184
Total Compensation 25th Percentile,62006,76018,88575,108571,54160,52544
Total Compensation Median,82010,96251,109620,108972,79568,79477
Total Compensation 75th Percentile,96419,113797,140000,132938,101207,83705
Educational Technology Staff,,,,,,
Number,1,8,5,4,1,-
Average Salary,-,61272,82279,-,-,-
Median Salary,-,62000,-,-,-,-
Average Salary and Housing,-,61272,82279,-,-,-
Average Benefits,-,14088,7354,-,-,-
Average Pension,-,3295,7096,-,-,-
Total Compensation Average,-,78655,96730,-,-,-
Total Compensation 25th Percentile,-,64738,65295,-,-,-
Total Compensation Median,-,82332,74666,-,-,-
Total Compensation 75th Percentile,-,85978,78125,-,-,-
Financial Aid Officer,,,,,,
Number,13,14,7,3,6,3
Average Salary,54691,58837,62379,-,72670,-
Median Salary,60000,50000,48600,-,66560,-
Average Salary and Housing,54691,58837,62379,-,72670,-
Average Benefits,6933,9147,2156,-,7792,-
Average Pension,3820,4005,3278,-,7724,-
Total Compensation Average,65444,71989,67813,-,88187,-
Total Compensation 25th Percentile,31000,51926,47444,-,68144,-
Total Compensation Median,78366,63586,63260,-,85086,-
Total Compensation 75th Percentile,83119,89392,80027,-,109959,-
HR Staff,,,,,,
Number,4,7,2,4,5,-
Average Salary,-,75571,-,-,75360,-
Median Salary,-,72087,-,-,-,-
Average Salary and Housing,-,75571,-,-,75360,-
Average Benefits,-,15859,-,-,4310,-
Average Pension,-,7558,-,-,6260,-
Total Compensation Average,-,98988,-,-,85931,-
Total Compensation 25th Percentile,-,79048,-,-,52440,-
Total Compensation Median,-,111767,-,-,89212,-
Total Compensation 75th Percentile,-,112804,-,-,97337,-
