col_0,< 75,75 - 150,151 - 300,301 - 500,501 - 1000,> 1000
Director of Field Education,,,,,,
Number,10,15,13,5,4,2
Average Salary,49904,69184,74620,95581,-,-
Median Salary,55000,73685,76385,-,-,-
Average Salary and Housing,49904,72191,79854,95581,-,-
Average Benefits,8840,14071,13227,15995,-,-
Average Pension,4351,6105,4694,8860,-,-
Total Compensation Average,63094,92367,97775,120437,-,-
Total Compensation 25th Percentile,36662,80554,71005,63796,-,-
Total Compensation Median,64933,91910,101500,128562,-,-
Total Compensation 75th Percentile,86008,103298,119526,156272,-,-
Director of Financial Aid,,,,,,
Number,4,5,9,-,1,1
Average Salary,-,81698,80375,-,-,-
Median Salary,-,-,79374,-,-,-
Average Salary and Housing,-,81698,80375,-,-,-
Average Benefits,-,19858,17808,-,-,-
Average Pension,-,5129,6963,-,-,-
Total Compensation Average,-,106686,105146,-,-,-
Total Compensation 25th Percentile,-,93094,77446,-,-,-
Total Compensation Median,-,106496,93875,-,-,-
Total Compensation 75th Percentile,-,111270,127276,-,-,-
Director of Formation,,,,,,
Number,20,16,13,4,4,1
Average Salary,66816,78739,77337,-,-,-
Median Salary,58858,72000,84500,-,-,-
Average Salary and Housing,69290,84105,80399,-,-,-
Average Benefits,10268,11560,14544,-,-,-
Average Pension,6435,6240,4248,-,-,-
Total Compensation Average,85994,101906,99191,-,-,-
Total Compensation 25th Percentile,55262,66999,48343,-,-,-
Total Compensation Median,78885,105997,93164,-,-,-
Total Compensation 75th Percentile,98611,133926,131091,-,-,-
Director of Graduate Studies,,,,,,
Number,6,5,5,1,3,5
Average Salary,83296,69061,56658,-,-,77823
Median Salary,85446,-,-,-,-,-
Average Salary and Housing,83296,69061,56658,-,-,77823
Average Benefits,11909,3432,6309,-,-,16495
Average Pension,722,2911,2338,-,-,8132
Total Compensation Average,95926,75404,65305,-,-,102450
Total Compensation 25th Percentile,85800,29000,15120,-,-,76495
Total Compensation Median,96233,63490,84577,-,-,103173
Total Compensation 75th Percentile,110901,72759,84577,-,-,109254
