Table 2.4 Total Credit Hour Enrollment,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9
All Member Schools,,,,,,,,,
Year,"Schools
Reporting",MDiv,MA,ThM/STM,"DMin/Other
Prof Dr",PhD/ThD,"Total
Degrees",Non-Degree,"Total
Enrollment"
2020,275,280780,182173,5434,38716,15134,522238,23421,545659
2021,272,259925,181366,6374,48029,16294,511988,23835,535823
2022,280,240811,181585,6383,48875,16459,494113,20186,514299
2023,274,225073,171325,5803,45830,17217,465248,23522,488770
2024,281,225205,180871,6168,47032,18446,477722,27793,505515
United States,,,,,,,,,
Year,"Schools
Reporting",MDiv,MA,ThM/STM,"DMin/Other
Prof Dr",PhD/ThD,"Total
Degrees",Non-Degree,"Total
Enrollment"
2020,237,258149,158285,5078,37581,14860,473953,16085,490038
2021,235,237397,157728,5730,46618,15970,463443,18717,482160
2022,243,228916,158367,5701,47484,16061,456529,17416,473945
2023,237,214862,160489,5026,44614,16068,441059,19874,460933
2024,245,214543,168549,5613,45710,17612,452027,23736,475763
Canada,,,,,,,,,
Year,"Schools
Reporting",MDiv,MA,ThM/STM,"DMin/Other
Prof Dr",PhD/ThD,"Total
Degrees",Non-Degree,"Total
Enrollment"
2020,38,22632,23888,357,1135,274,48285,7336,55621
2021,37,22528,23638,644,1411,324,48545,5118,53663
2022,37,11895,23218,682,1391,398,37584,2770,40354
2023,37,10211,10836,777,1216,1149,24189,3648,27837
2024,36,10662,12322,555,1322,834,25695,4057,29752
Table 2.4 reports fall total credit hours enrollment over a five-year period.,,,,,,,,,
