Canada,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16
"Race/Ethnicity
Faculty Rank",,2020,,,2021,,,2022,,,2023,,,2024,,
,,M,F,O/U,M,F,O/U,M,F,O/U,M,F,O/U,M,F,O/U
Asian or PI,Professor,1,1,0,1,2,0,0,2,0,0,1,0,0,1,0
,Associate Professor,2,2,0,2,1,0,4,1,0,5,1,0,5,2,0
,Assistant Professor,4,1,1,5,2,1,6,2,1,6,4,0,8,3,0
,Others,1,0,1,0,0,1,0,1,1,0,0,0,3,1,0
,Total,8,4,2,8,5,2,10,6,2,11,6,0,16,7,0
"Black (Non-
Hispanic)",Professor,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
,Associate Professor,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0
,Assistant Professor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Others,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Total,1,1,0,1,1,0,1,1,0,1,1,0,0,1,0
Hispanic,Professor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Associate Professor,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
,Assistant Professor,1,0,0,1,0,0,2,0,0,1,0,0,1,0,0
,Others,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Total,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0
Indigenous,Professor,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
,Associate Professor,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
,Assistant Professor,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0
,Others,2,1,0,2,2,0,1,2,0,1,0,0,1,0,0
,Total,4,1,0,4,2,0,3,2,0,3,0,0,1,0,0
"White (Non-
Hispanic)",Professor,49,12,0,38,9,0,39,10,0,32,10,0,27,8,0
,Associate Professor,34,12,1,33,12,1,30,10,0,23,9,2,25,10,1
,Assistant Professor,11,13,0,22,16,0,18,19,0,18,9,0,13,10,0
,Others,12,6,0,7,3,0,7,4,0,1,2,0,1,4,0
,Total,106,43,1,100,40,1,94,43,0,74,30,2,66,32,1
Multiracial,Professor,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0
,Associate Professor,1,1,0,1,1,0,1,1,0,0,1,0,0,1,0
,Assistant Professor,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
,Others,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
,Total,2,2,0,2,1,0,2,2,0,0,2,0,1,2,0
Not Available,Professor,18,3,0,17,2,2,24,3,2,24,3,3,21,3,3
,Associate Professor,17,11,0,21,11,1,26,15,1,22,12,2,22,13,1
,Assistant Professor,20,7,1,19,8,6,17,4,4,11,2,2,11,4,3
,Others,4,4,0,3,5,1,6,4,1,4,6,5,4,3,3
,Total,59,25,1,60,26,10,73,26,8,61,23,12,58,23,10
Total Faculty,Professor,69,16,0,57,14,2,64,16,2,58,14,3,49,12,3
,Associate Professor,57,28,1,60,25,2,63,27,1,51,24,4,53,27,2
,Assistant Professor,37,21,2,48,26,7,44,25,5,37,16,2,33,18,3
,Others,19,12,1,12,10,2,14,12,2,6,8,5,9,8,3
,Total,182,77,4,177,75,13,185,80,10,152,62,14,144,65,11
