Canada,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
,2015,,2020,,2023,,2024,
Enrollment size,N,%,N,%,N,%,N,%
< 75,27,66%,23,61%,25,68%,24,67%
75 - 150,7,17%,9,24%,9,24%,9,25%
151 - 300,4,10%,4,11%,2,5%,2,6%
301 - 500,1,2%,1,3%,1,3%,0,-
501 - 1000,0,-,0,-,0,-,1,3%
> 1000,0,-,0,-,0,-,0,-
Not Reporting,2,5%,1,3%,0,-,0,-
Total,41,100%,38,100%,37,100%,36,100%
