All Member Schools,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
,United States Canada,,United States Canada,,United States Canada,,United States Canada,
,"Director of
Recruitment/Retention",,"Director of Relations (Alum,
External, Church)",,"Director of Student
Services/Affairs",,Accounting Staff,
Number,16,-,22,3,64,7,39,4
Average Salary,72307,-,71163,-,67925,56457,70927,-
Median Salary,73500,-,65000,-,67897,57015,67600,-
Average Salary and Housing,74557,-,74918,-,68384,56457,70927,-
Average Benefits,10024,-,11677,-,9672,2339,10119,-
Average Pension,6505,-,5820,-,5151,3706,4943,-
Total Compensation Average,91086,-,92415,-,83207,62502,85990,-
"Total Compensation 25th
Percentile",72345,-,69153,-,67870,46357,66123,-
Total Compensation Median,86573,-,81311,-,81077,66401,76385,-
"Total Compensation 75th
Percentile",109181,-,122147,-,96574,72400,99425,-
,Admissions Officer,,Alum Officer,,Business Office Staff,,Communications Staff,
Number,93,9,19,1,40,4,60,7
Average Salary,63786,42215,77234,-,66768,-,69560,37943
Median Salary,60000,41665,71984,-,60562,-,66300,39545
Average Salary and Housing,64997,42215,77234,-,66768,-,69880,37943
Average Benefits,10242,2076,12538,-,6923,-,11972,2562
Average Pension,4716,3655,6588,-,4549,-,5540,1719
Total Compensation Average,79956,47946,96360,-,78240,-,87392,42225
"Total Compensation 25th
Percentile",59741,30988,76559,-,56727,-,67851,36293
Total Compensation Median,74062,43710,89600,-,70720,-,84270,40681
"Total Compensation 75th
Percentile",94597,51343,109396,-,97877,-,98391,47864
,Data Specialist,,"Development Professional
Staff",,"Educational Technology
Staff",,Financial Aid Officer,
Number,12,-,121,5,19,-,42,4
Average Salary,64042,-,81582,59157,69458,-,64313,-
Median Salary,58195,-,78824,-,69680,-,62424,-
Average Salary and Housing,64042,-,81582,59157,69458,-,64313,-
Average Benefits,7715,-,12668,3125,12187,-,8378,-
Average Pension,3757,-,6678,6272,5707,-,4822,-
Total Compensation Average,75513,-,100928,68554,87353,-,77513,-
"Total Compensation 25th
Percentile",47727,-,75692,46548,66772,-,60391,-
Total Compensation Median,70889,-,97572,50566,85383,-,78366,-
"Total Compensation 75th
Percentile",86443,-,122776,57548,87853,-,90405,-
