Table 2.8 Full-Time Equivalent Enrollment by Degree Category and Program,col_1,col_2,col_3,col_4,col_5
All Member Schools,,,,,
,2020,2021,2022,2023,2024
Master's Degree Programs,,,,,
MDiv,22053,20238,19380,18759,18770
MA (prof),8592,8475,8364,7494,7856
MA (acad),7285,6087,6013,5207,5295
MA (both),0,1102,1807,1583,1927
Subtotal MA,15877,15663,16184,14283,15078
ThM/STM,793,744,728,484,515
Doctoral Degree Programs,,,,,
DMin,2919,3210,3398,6595,6761
Other Prof Dr,1575,1596,1508,1043,1077
Subtotal DMin and Other Prof Dr,4494,4806,4906,7638,7838
PhD/ThD,3939,4017,4113,2870,3074
Non-Degree Programs,,,,,
NonDegree,2081,2405,2242,2352,2779
Total,49237,47873,47553,46386,48054
