All Member Schools,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
,United States Canada,,United States Canada,,United States Canada,,United States Canada,
,Professor,,Associate Professor,,Assistant Professor,,Not Ranked,
Number,1070,51,632,73,568,45,25,1
Average Salary,103071,93125,87138,72620,71179,65104,92506,-
Median Salary,93293,90488,83594,68351,70500,61650,88776,-
Average Salary and Housing,106332,94473,90504,74208,73030,66628,94382,-
Average Benefits,12916,6449,12432,3653,11722,4123,17364,-
Average Pension,7577,5088,6806,5004,5379,5230,6681,-
Total Compensation Average,126825,106010,109742,82866,90131,75981,118427,-
"Total Compensation 25th
Percentile",97632,85720,89441,67905,73254,66373,71200,-
Total Compensation Median,117845,108409,106133,79364,90161,72183,109120,-
"Total Compensation 75th
Percentile",147390,117832,129029,93116,105500,84060,133202,-
