"Table 2.12 Head Count and Full-Time Equivalent Enrollment by Degree Category, Fall 2024",col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15
All Member Schools,,,,,,,,,,,,,,,
,,MDiv,,MA,,ThM/STM,,"DMin/Other
Prof Dr",,PhD/ThD,,Other,,Total,
,,HC,FTE,HC,FTE,HC,FTE,HC,FTE,HC,FTE,HC,FTE,HC,FTE
Oblate School of Theology,,68,54,66,39,0,0,25,10,20,17,19,9,198,129
"Oral Roberts University Graduate School of
Theology and Ministry",,97,65,273,175,0,0,59,28,30,19,0,0,459,287
"Pacific Christian College of Ministry and Biblical
Studies of Hope International University",,4,4,37,26,0,0,0,0,0,0,0,0,41,30
"Pacific Lutheran Theological Seminary of California
Lutheran University",,38,35,10,9,0,0,0,0,0,0,6,4,54,48
Pacific School of Religion,,53,36,13,9,0,0,62,38,0,0,10,7,138,90
Pacific Theological Seminary,,7,3,9,5,0,0,0,0,0,0,0,0,16,8
"Palm Beach Atlantic University School of Ministry
Graduate Department",,68,46,39,21,0,0,0,0,43,27,0,0,150,94
Palmer Theological Seminary of Eastern University,,93,51,86,40,0,0,22,13,0,0,3,1,204,105
Payne Theological Seminary,,68,57,16,12,0,0,42,76,0,0,0,0,126,145
Pentecostal Theological Seminary,,58,36,222,116,14,8,126,79,0,0,24,11,444,250
"Perkins School of Theology Southern Methodist
University",,127,82,49,32,9,3,67,0,23,13,2,1,277,131
Phillips Theological Seminary,,44,26,17,9,0,0,38,14,0,0,4,2,103,51
Phoenix Seminary,,127,66,123,49,5,1,17,9,0,0,24,10,296,135
Pittsburgh Theological Seminary,,52,36,23,15,0,0,119,20,0,0,8,3,202,74
Pontifical College Josephinum,,24,29,0,2,0,0,0,0,0,0,1,1,25,32
Pope St. John XXIII National Seminary,,43,54,0,0,0,0,0,0,0,0,0,0,43,54
Portland Seminary of George Fox University,,33,17,81,39,0,0,203,198,0,0,24,8,341,262
Presbyterian Theological Seminary in America,,81,49,45,23,0,0,0,4,0,0,0,0,126,76
Princeton Theological Seminary,,155,158,78,69,9,8,0,0,49,45,0,0,291,280
Providence Theological Seminary,,11,5,109,54,0,0,6,1,0,0,23,7,149,67
Puritan Reformed Theological Seminary,,66,40,197,63,106,34,35,31,33,19,64,9,501,196
Reformed Episcopal Seminary,,6,4,8,3,0,0,0,0,0,0,12,4,26,11
Reformed Presbyterian Theological Seminary,,34,27,19,11,0,0,29,33,0,0,9,4,91,75
Reformed Theological Seminary,,524,297,351,164,0,0,59,30,0,0,88,31,1022,522
Regent College,,62,37,162,64,15,4,0,0,0,0,80,36,319,141
Regent University School of Divinity,,531,310,313,167,9,3,153,91,83,66,20,9,1109,646
Regis College,,24,24,23,12,12,7,6,3,16,12,2,1,83,59
Robert E. Webber Institute for Worship Studies,,0,0,26,27,0,0,96,108,0,0,0,0,122,135
Sacred Heart Major Seminary,,58,71,60,22,0,0,0,0,0,0,14,4,132,97
Sacred Heart Seminary and School of Theology,,100,97,39,20,0,0,0,0,0,0,7,7,146,124
Saint John's Seminary (MA),,38,29,18,7,0,0,0,0,0,0,20,14,76,50
"Saint John's University School of Theology and
Seminary",,26,24,65,41,8,7,0,0,0,0,66,18,165,90
"Saint Mary Seminary and Graduate School of
Theology",,38,31,68,19,0,0,9,6,0,0,12,6,127,62
Saint Meinrad School of Theology,,77,103,79,47,0,0,0,0,0,0,25,6,181,156
Saint Paul School of Theology,,55,41,18,10,0,0,16,10,0,0,0,1,89,62
"Saint Paul Seminary School of Divinity of the
University of St. Thomas",,60,76,46,15,0,0,0,0,0,0,45,34,151,125
"Saint Sophia Ukrainian Orthodox Theological
Seminary",,8,21,19,13,0,0,0,0,0,0,0,0,27,34
Saint Vincent Seminary,,39,52,9,6,0,0,0,0,0,0,29,3,77,61
"Samuel DeWitt Proctor School of Theology of
Virginia Union University",,247,242,24,21,0,0,48,72,0,0,0,0,319,335
San Francisco Theological Seminary,,19,15,10,7,0,0,23,22,0,0,19,3,71,47
Seattle Pacific Seminary,,22,12,28,13,0,0,0,0,0,0,12,6,62,31
The Seattle School of Theology and Psychology,,0,0,241,130,0,0,0,0,0,0,0,0,241,130
