United States,col_1,col_2,col_3
Faculty Rank Name,"Master's Degrees
(MDiv, MA, ThM/STM)","Doctoral Degreees
(DMin and Other Prof Dr)","Doctoral Degrees
(PhD/ThD)"
Professor,,,
1Number,183,354,517
2Average Salary,111617,94893,106802
2Median Salary,97632,91980,95000
3Average Salary and Housing,115046,100349,108602
4Average Benefits,15163,10654,14058
5Average Pension,7106,6408,8779
6Total Compensation Average,137315,117411,131439
Total Compensation 25th Percentile,97095,91649,105505
Total Compensation Median,120226,112467,121033
Total Compensation 75th Percentile,180260,139912,147390
Associate Professor,,,
1Number,113,213,304
2Average Salary,92166,80497,89931
2Median Salary,87975,80000,87200
3Average Salary and Housing,94767,85811,92239
4Average Benefits,14453,12004,12038
5Average Pension,6164,6524,7287
6Total Compensation Average,115384,104340,111564
Total Compensation 25th Percentile,92603,85187,91637
Total Compensation Median,114132,103895,107256
Total Compensation 75th Percentile,131833,118756,130224
Assistant Professor,,,
1Number,148,166,249
2Average Salary,71064,71187,71639
2Median Salary,69810,70040,71283
3Average Salary and Housing,74202,73410,72512
4Average Benefits,12979,10502,12003
5Average Pension,5338,6035,5074
6Total Compensation Average,92519,89947,89589
Total Compensation 25th Percentile,69500,69780,77250
Total Compensation Median,90582,90099,90653
Total Compensation 75th Percentile,108200,105658,103454
Not Ranked,,,
1Number,15,8,2
2Average Salary,108673,65031,-
2Median Salary,96874,61200,-
3Average Salary and Housing,109973,68456,-
4Average Benefits,20575,13049,-
5Average Pension,8042,4676,-
6Total Compensation Average,138590,86181,-
Total Compensation 25th Percentile,100100,50000,-
Total Compensation Median,127051,71200,-
Total Compensation 75th Percentile,150297,109120,-
