"Religious Bodies","Tradition","Family","Congregations","Adherents","Adherence Rate"
"Churches of Christ","Evangelical Protestant","Restorationists Family","129","9,627","0.74"
"Churches of Christ in Christian Union","Evangelical Protestant","Holiness Family","5","",""
"Churches of God, General Conference","Evangelical Protestant","Presbyterian/Reformed Family","150","16,626","1.28"
"Church of Christ, Scientist","Other Christians","Christian Science Family","7","",""
"Church of God (Anderson, Indiana)","Evangelical Protestant","Holiness Family","85","22,436","1.73"
"Church of God and Saints of Christ","Other Christians","Judaism Family","1","",""
"Church of God by Faith, Inc.","Evangelical Protestant","Pentecostal Family","3","",""
"Church of God (Cleveland, Tennessee)","Evangelical Protestant","Pentecostal Family","109","13,432","1.03"
"Church of God in Christ","Black Protestant","Pentecostal Family","83","26,208","2.02"
"Church of God in Christ, Mennonite","Evangelical Protestant","Mennonite/Amish Family","5","944","0.07"
"Church of God of Prophecy","Evangelical Protestant","Pentecostal Family","29","",""
"Church of Jesus Christ (Bickertonite)","Latter-day Saints","Latter-day Saints (Mormonism) Family","12","",""
"Church of Jesus Christ of Latter-day Saints","Latter-day Saints","Latter-day Saints (Mormonism) Family","110","52,290","4.02"
"Church of our Lord Jesus Christ of the Apostolic Faith, Inc.","Black Protestant","Pentecostal Family","15","2,718","0.21"
"Church of the Brethren","Evangelical Protestant","Friends/Brethren Family","214","32,414","2.49"
"Church of the Genuine Orthodox Christians of America","Orthodox","Eastern Liturgical (Orthodox) Family","1","80","0.01"
"Church of the Living God (Christian Workers for Fellowship)","Black Protestant","Pentecostal Family","1","",""
"Church of the Living God, the Pillar and Ground of the Truth, Inc. [Lewis Dominion]","Black Protestant","Pentecostal Family","5","",""
"Church of the Lutheran Brethren of America","Evangelical Protestant","Lutheran Family","3","",""
"Church of the Nazarene","Evangelical Protestant","Holiness Family","150","22,529","1.73"
"Church of the United Brethren in Christ, USA","Evangelical Protestant","Methodist Family","32","4,970","0.38"
"Communion of Reformed Evangelical Churches","Evangelical Protestant","Presbyterian/Reformed Family","2","",""
"Community of Christ","Evangelical Protestant","Latter-day Saints (Mormonism) Family","12","",""
"Congregational Christian Churches, Additional (not part of any national CCC body)","Mainline Protestant","Presbyterian/Reformed Family","4","365","0.03"
"Congregational Holiness Church","Evangelical Protestant","Pentecostal Family","1","",""
"Conservative Baptist Association of America (CBAmerica)","Evangelical Protestant","Baptist Family","47","",""
"Conservative Congregational Christian Conference","Evangelical Protestant","Presbyterian/Reformed Family","22","3,012","0.23"
"Conservative Judaism","Judaism","Judaism Family","35","27,903","2.15"
"Conservative Mennonite Churches of York and Adams Counties PA","Evangelical Protestant","Mennonite/Amish Family","5","327","0.03"
"Conservative Mennonite Conference","Evangelical Protestant","Mennonite/Amish Family","16","2,428","0.19"
"Conservative Yearly Meetings of Friends","Evangelical Protestant","Friends/Brethren Family","2","28","0.00"
"Converge Worldwide","Evangelical Protestant","Baptist Family","18","",""
"Coptic Orthodox Church","Orthodox","Eastern Liturgical (Orthodox) Family","9","2,981","0.23"
"Cumberland Presbyterian Church","Evangelical Protestant","Presbyterian/Reformed Family","1","105","0.01"
"Cumberland Valley Mennonite Church","Evangelical Protestant","Mennonite/Amish Family","4","422","0.03"
"Diocese of the Holy Cross","Mainline Protestant","","3","",""
"Dunkard Brethren Church","Evangelical Protestant","Friends/Brethren Family","7","562","0.04"
