report_year,Year,Members,Non-Member Friends,Religious Education Enrollment
2025,2015,153422,191190,46938
2025,2016,151070,98803,44240
2025,2017,149893,87237,42550
2025,2018,150768,76480,40006
2025,2019,149683,72405,37670
2025,2020,147797,63866,34089
2025,2021,143909,62838,22080
2025,2022,137407,55964,21343
2025,2023,131563,59261,19639
2025,2024,130330,56015,20064
2025,2025,130457,53772,19600
