report_year,Year,Endowment and Reserves
2025,2016,791364894
2025,2017,793388259
2025,2018,881492081
2025,2019,920528677
2025,2020,937237752
2025,2021,978929380
2025,2022,1139991220
2025,2023,1071248736
2025,2024,1138938442
2025,2025,1253045086
