report_year,Type,Total,Central-East,MidAmerica,New England,Pacific Western,Southern,International
2025,Consultation with a Regional UUA Staff Member,461,99,94,96,90,82,0
2025,"Meeting, Startup, or Retreat in your Congregation Facilitated by Regional Staff",125,24,29,35,22,15,0
2025,Online Courses through the UU Institute,150,38,26,26,28,32,0
2025,Regional Assembly,91,5,39,5,31,11,0
2025,Regional Cluster Events,148,30,23,28,28,39,0
2025,Regional facilitated online board training,37,5,4,12,7,9,0
2025,Regional Leadership School or Training,40,5,7,5,6,17,0
2025,Regional newsletter,331,42,60,77,72,80,0
2025,Regional youth events and conferences,66,7,8,11,26,14,0
2025,Resources through the LeaderLab Learning Center on UUA.org,142,22,27,20,34,39,0
2025,Side With Love trainings,61,8,9,8,14,22,0
2025,"Webinars or workshops, in-person or online",237,47,44,53,44,48,1
2025,Zoom License discount,296,60,54,60,67,54,1
