report_year,Year,National,Central-East,MidAmerica,New England,Pacific Western,Southern
2025,2015,244644.2542,369883.7602,203673.633,220827.3771,262797.1075,176099.1174
2025,2016,253950.5321,373533.2268,218513.5955,244143.8472,263314.8634,175442.4524
2025,2017,237735.9908,285680.6359,217353.8056,240588.8233,270999.0278,179254.4762
2025,2018,226071.2262,258568.9541,204696.0055,228941.2642,260776.3681,180316.7427
2025,2019,233509.5524,279608.375,208937.7432,232171.5628,269636.3187,183074.782
2025,2020,239191.6033,284836.7766,215889.0824,239884.4279,274842.0722,187280.0524
2025,2021,243033.2739,301195.2796,206650.9454,249438.0566,276243.7845,187870.1962
2025,2022,231810.3627,287550.6505,206323.3923,229335.6411,254400.9454,186318.0728
2025,2023,251437.8674,317766.2649,219243.8343,243042.554,274558.2722,208636.3883
2025,2024,261503.2807,332702.3039,226724.4586,259670.0776,282137.2912,213221.8495
2025,2025,272074.948,331319.3187,234956.4286,274040.8884,301707.2191,224407.6618
